N,P,K,ph,crop
40,63,18,6.74441168,blackgram
20,60,25,6.726469087999999,blackgram
48,61,21,6.628264883,blackgram
49,68,22,7.127064207,blackgram
48,62,15,7.538631462000001,blackgram
32,66,17,7.162357641,blackgram
21,63,22,6.859409487000001,blackgram
20,72,19,7.397190844,blackgram
25,65,21,6.880245789,blackgram
41,78,21,6.581313137,blackgram
53,67,17,7.296972161,blackgram
39,60,21,6.97297656,blackgram
25,76,17,7.241148507,blackgram
21,78,19,6.92009048,blackgram
57,60,17,7.504608385,blackgram
56,75,15,7.152272256,blackgram
49,72,15,7.137004749,blackgram
24,80,19,6.8080417220000005,blackgram
49,76,18,7.393631868,blackgram
28,68,19,7.69950698,blackgram
55,78,21,6.602888248999999,blackgram
50,64,25,6.734447425,blackgram
34,80,19,6.521217963,blackgram
20,68,23,7.707332484,blackgram
55,67,16,6.596719015,blackgram
23,70,15,7.403623355,blackgram
53,74,15,7.517097,blackgram
26,67,16,7.17620823,blackgram
33,80,22,6.593961761,blackgram
37,79,19,7.143942758,blackgram
33,75,21,6.690655045,blackgram
22,55,20,7.423530351,blackgram
20,68,17,6.578714842999999,blackgram
43,68,20,7.497469256,blackgram
44,76,22,7.775306272000001,blackgram
34,60,16,7.322555222999999,blackgram
21,72,17,7.580527339,blackgram
25,68,19,7.1084501210000015,blackgram
41,62,15,7.358974541,blackgram
28,65,23,7.405176138,blackgram
35,64,15,6.500144962,blackgram
52,58,16,7.167435834,blackgram
58,75,25,7.261791753,blackgram
34,66,19,7.586642101,blackgram
52,70,16,7.534811832999999,blackgram
23,57,19,7.251000789,blackgram
42,58,25,6.513620917999999,blackgram
37,62,17,7.121254928,blackgram
44,75,22,7.574561547,blackgram
21,80,20,7.350869792,blackgram
56,76,16,7.5131510760000015,blackgram
29,76,15,7.0256077060000015,blackgram
43,61,20,6.804253866,blackgram
55,60,15,7.163043872,blackgram
44,63,15,7.338929556,blackgram
29,67,21,6.621323612,blackgram
47,63,16,6.661870999,blackgram
40,68,17,7.733149554,blackgram
58,61,15,7.402891666,blackgram
41,74,18,6.599147297999999,blackgram
58,79,17,7.04174124,blackgram
27,62,24,7.353876754,blackgram
27,60,17,7.026795358999999,blackgram
52,65,20,6.814301033,blackgram
44,55,25,7.42160832,blackgram
21,62,24,6.8473828910000005,blackgram
60,59,22,7.191522601,blackgram
33,77,21,7.01285529,blackgram
59,58,17,7.368318809,blackgram
29,63,17,7.26154329,blackgram
59,63,18,6.52669158,blackgram
29,70,15,6.872594461,blackgram
58,73,16,6.874142175,blackgram
55,77,22,7.76061831,blackgram
42,79,23,6.781841984,blackgram
44,77,21,7.326980454,blackgram
38,62,25,7.453975408,blackgram
32,76,15,7.604110177000001,lentil
13,61,22,7.728832424,lentil
38,60,20,7.491217102,lentil
11,74,17,6.633864582,lentil
37,71,16,7.324863481,lentil
29,71,18,6.410441476,lentil
2,72,18,7.836719564,lentil
6,59,21,6.139215944,lentil
13,64,20,6.590571088,lentil
8,58,17,7.286049977999999,lentil
6,77,20,6.058306161,lentil
2,75,22,6.658605362,lentil
3,69,23,7.299360767,lentil
27,80,24,7.815210661,lentil
39,78,15,5.925391795,lentil
40,79,17,6.403683619,lentil
37,62,22,7.397546271,lentil
31,60,24,7.722335992,lentil
22,67,22,7.475926645,lentil
3,78,18,6.887130053,lentil
4,80,16,7.441976825,lentil
13,61,24,7.629910252999999,lentil
12,66,20,7.336117221,lentil
4,61,21,6.75020529,lentil
9,60,21,7.52178027,lentil
18,66,22,6.347379185,lentil
32,56,18,7.135251532000001,lentil
6,72,15,7.670178119,lentil
15,77,20,7.399749291,lentil
0,65,24,7.841496029,lentil
30,79,22,6.254216611,lentil
3,63,16,6.868881707999999,lentil
2,78,23,7.320514721,lentil
10,78,18,6.296976913,lentil
14,67,25,7.241151936,lentil
39,65,23,7.685959305,lentil
19,72,15,6.890760124,lentil
18,57,21,6.155915975,lentil
31,58,15,6.167855382000001,lentil
28,58,25,6.861640036,lentil
5,65,19,6.978361689,lentil
16,65,19,7.043160241,lentil
34,65,19,5.94239222,lentil
14,69,19,7.239455147,lentil
22,55,16,6.516317561,lentil
24,61,17,6.233269045,lentil
2,79,15,7.505283615,lentil
26,63,17,6.950300686,lentil
27,61,15,6.958054839,lentil
24,70,16,6.54803469,lentil
13,74,25,6.461618577,lentil
6,64,23,7.065264073,lentil
12,58,23,6.765091462000001,lentil
32,79,22,5.91645379,lentil
6,68,18,6.711341147000001,lentil
10,79,20,6.379881442,lentil
38,77,22,6.313284267999999,lentil
17,74,17,7.393210848,lentil
26,68,24,7.504930973,lentil
23,75,17,7.198076286,lentil
32,78,22,7.007037515,lentil
19,79,19,6.677262562,lentil
22,60,18,6.74398035,lentil
28,69,16,6.547361617999999,lentil
1,67,21,6.551577598,lentil
12,67,23,6.585020302999999,lentil
36,67,20,6.924042372000001,lentil
28,70,21,7.437373666,lentil
12,71,19,7.142611056000002,lentil
22,68,16,7.74672376,lentil
26,66,22,6.300479414,lentil
16,65,16,6.078724107,lentil
14,59,22,6.76660668,lentil
33,59,19,7.641024177,lentil
21,63,17,6.559681838,lentil
0,69,21,7.072923306,lentil
10,75,17,7.732194787999999,lentil
30,61,18,6.157782589,lentil
0,74,17,7.240988401,lentil
35,74,22,6.898905799,lentil
7,63,24,6.818681086000002,lentil
9,56,17,6.261937875,lentil
14,74,15,6.493036868,lentil
14,76,20,7.042474679,lentil
36,65,16,7.692013657,lentil
28,67,21,6.250994222999999,lentil
28,79,16,6.0521848810000005,lentil
40,61,22,7.002216044,lentil
10,70,19,7.272427638,lentil
12,80,19,5.962001484,lentil
37,77,20,7.080506001,lentil
0,67,22,6.5937983870000005,lentil
7,73,25,7.28805662,lentil
10,56,18,7.32710972,lentil
39,70,15,6.366355781,lentil
26,56,22,7.011121216,lentil
9,77,17,6.280725549,lentil
4,59,19,7.621494566,lentil
34,73,15,7.630424082999999,lentil
33,77,15,7.802212437,lentil
2,24,38,5.922935513,pomegranate
6,18,37,5.937649577999999,pomegranate
8,26,36,6.804781106,pomegranate
37,18,39,6.424670614,pomegranate
0,27,38,6.7380162210000005,pomegranate
31,25,38,6.4973666770000005,pomegranate
21,21,38,6.327673765,pomegranate
6,30,40,6.36137446,pomegranate
25,27,41,6.9235093710000015,pomegranate
15,11,38,6.630646082999999,pomegranate
14,5,36,5.832525853,pomegranate
16,10,41,6.738993954,pomegranate
36,7,37,5.782435567,pomegranate
4,20,41,6.537042717,pomegranate
29,22,40,6.145104401,pomegranate
16,15,42,6.890784045,pomegranate
18,27,41,7.175344328,pomegranate
11,18,42,5.938528744,pomegranate
5,15,38,5.709380472,pomegranate
18,23,44,6.184400085,pomegranate
9,8,40,6.553509673,pomegranate
40,27,45,5.885638185,pomegranate
22,23,44,6.1438746910000015,pomegranate
9,16,39,6.101198974,pomegranate
12,29,40,6.594037135,pomegranate
0,17,42,6.8598408210000015,pomegranate
2,21,44,6.56893406,pomegranate
28,6,40,6.769855664,pomegranate
8,23,44,7.130837931,pomegranate
29,16,36,5.7403380020000006,pomegranate
17,18,43,5.843005428,pomegranate
34,21,42,6.648687273999999,pomegranate
21,23,42,6.902751061,pomegranate
25,17,40,6.608023872,pomegranate
8,25,36,6.828522375,pomegranate
26,18,42,6.910374919,pomegranate
4,19,42,6.306605528,pomegranate
36,24,41,7.009180374,pomegranate
5,24,40,6.297907578999999,pomegranate
19,17,39,6.728599215,pomegranate
39,30,38,6.965156737999999,pomegranate
5,29,44,5.578095745,pomegranate
4,24,43,7.199504273,pomegranate
38,21,35,5.841367187,pomegranate
37,11,36,6.710143266,pomegranate
9,25,41,5.972714857000001,pomegranate
29,22,43,5.561851831,pomegranate
5,21,38,6.107054807999999,pomegranate
22,26,38,6.988035315,pomegranate
4,18,37,7.13147457,pomegranate
21,6,41,7.086947687,pomegranate
29,21,45,6.749260456,pomegranate
23,5,44,7.16300467,pomegranate
13,7,43,7.013481515,pomegranate
5,13,37,5.648243648999999,pomegranate
27,24,41,6.610251186,pomegranate
7,23,35,7.054313822999999,pomegranate
12,20,39,6.026999326,pomegranate
4,19,43,5.7794274020000005,pomegranate
3,9,45,6.535244251,pomegranate
1,27,36,5.684995235,pomegranate
23,30,44,6.12476108,pomegranate
24,21,42,6.999014379,pomegranate
13,30,37,6.277148771,pomegranate
40,11,44,6.322396027000001,pomegranate
21,9,40,5.956401828,pomegranate
3,27,44,6.591302797000001,pomegranate
40,29,42,7.104094929,pomegranate
14,25,40,6.407872061,pomegranate
38,14,37,6.658402594,pomegranate
34,9,36,6.276038961,pomegranate
32,14,37,6.825256236,pomegranate
18,21,35,6.368560522,pomegranate
8,23,38,7.005410734,pomegranate
15,6,41,6.8973684770000006,pomegranate
0,5,36,6.152906502,pomegranate
22,9,44,5.744361602000001,pomegranate
14,8,43,7.051654924,pomegranate
31,11,45,6.034612928,pomegranate
39,17,45,6.9244907310000015,pomegranate
10,5,42,6.887005997,pomegranate
8,28,38,6.8444019,pomegranate
32,13,42,5.786058032000001,pomegranate
18,9,40,5.627186257000001,pomegranate
20,27,41,5.700088663,pomegranate
39,25,36,5.567805185,pomegranate
20,7,45,6.077886012,pomegranate
11,10,45,6.397995609,pomegranate
40,18,43,5.767372539,pomegranate
3,26,39,7.079973241,pomegranate
9,16,36,5.893332377999999,pomegranate
30,20,38,7.058222596,pomegranate
40,9,41,5.78270695,pomegranate
40,30,35,6.269663962999999,pomegranate
32,25,35,5.892913826,pomegranate
33,23,45,7.116538883,pomegranate
4,14,41,6.430163481,pomegranate
13,17,45,7.159520979,pomegranate
39,24,39,6.431265737,pomegranate
8,28,37,6.082571701,pomegranate
91,94,46,6.149934034,banana
105,95,50,5.849076099,banana
108,92,53,6.276800323,banana
86,76,54,5.926824754,banana
80,77,49,5.519088423,banana
93,94,53,6.079178787999999,banana
90,92,55,6.13465588,banana
108,89,53,5.808497603999999,banana
108,88,55,5.891458107,banana
105,77,52,5.816622478999999,banana
118,88,52,5.8431631610000005,banana
101,87,54,6.376756632999999,banana
95,75,50,5.623615687000001,banana
106,85,53,5.91505509,banana
86,95,49,6.458714879,banana
83,79,55,5.565028635,banana
85,95,47,6.211833161,banana
109,79,45,6.490074429,banana
100,76,45,5.590236025,banana
117,86,48,6.225225238999999,banana
114,94,53,6.190757458999999,banana
110,78,50,5.915568968,banana
94,70,48,6.195152442,banana
80,71,47,6.156373499,banana
114,79,51,6.313197204,banana
88,78,45,6.324270089,banana
112,73,48,5.7074889870000005,banana
117,76,47,6.119216009,banana
111,87,48,5.571401169,banana
89,83,47,5.63127166,banana
93,91,47,6.101241579,banana
92,81,52,6.438137278999998,banana
105,74,45,6.098369122,banana
102,71,48,5.695267822000001,banana
94,91,51,5.6180944460000015,banana
116,71,47,6.435785799,banana
117,79,49,6.176644228,banana
119,72,55,6.220643671,banana
99,73,53,5.8717022110000014,banana
91,84,52,6.390741836,banana
80,90,47,6.21084479,banana
101,70,48,6.012696655,banana
108,89,53,5.908770059,banana
100,80,52,6.049801781,banana
109,91,53,6.010095852999999,banana
82,78,46,5.738678895,banana
106,70,55,5.74055541,banana
90,86,52,5.793260262,banana
83,95,50,5.50947065,banana
119,90,48,5.986442306,banana
107,72,45,5.790768046,banana
116,81,55,5.915546415,banana
101,75,50,6.242528277999999,banana
93,81,50,6.0360792660000016,banana
95,75,45,5.829898502000001,banana
107,71,55,6.088064451,banana
83,94,47,6.469370954,banana
102,73,54,5.720726906,banana
86,79,45,5.80766417,banana
117,86,53,5.703381727999999,banana
111,79,53,6.165001277999999,banana
95,74,50,6.002481605,banana
91,75,55,6.212369363,banana
93,83,46,5.765308943,banana
92,85,51,5.740764682000001,banana
104,80,54,5.879119455,banana
103,72,51,6.099478745,banana
92,75,45,5.674403358999999,banana
93,85,49,5.694243847,banana
120,87,52,5.905494703,banana
108,72,46,6.110844721,banana
105,88,54,6.020445317,banana
98,79,50,6.435917308,banana
111,88,55,5.505393832999999,banana
97,74,45,5.677719902000001,banana
95,82,48,5.719014989,banana
89,91,55,6.275572297999999,banana
89,85,55,6.275384607,banana
118,88,51,6.201911642000001,banana
101,92,45,5.758054257,banana
99,92,47,6.3239336470000005,banana
82,77,46,5.901100841,banana
90,86,55,5.644486582000001,banana
95,88,52,6.235461772000001,banana
104,73,46,6.28236237,banana
102,73,52,6.356090905,banana
100,74,52,5.837258235,banana
94,89,48,5.653437902,banana
99,70,46,5.727469947,banana
112,87,48,6.200111067999999,banana
117,82,45,5.614471478,banana
96,86,51,6.257369799,banana
113,85,45,6.037430836,banana
105,93,46,5.760457558,banana
85,89,51,6.1581644220000005,banana
108,94,47,6.387431382999999,banana
92,81,52,5.891413895,banana
110,71,54,5.725418961,banana
82,75,55,6.281069505,banana
117,81,53,5.507641777999999,banana
2,40,27,5.954626604,mango
39,24,31,4.757114897,mango
21,26,27,5.6995869720000005,mango
25,22,25,5.977413802999999,mango
0,21,32,6.430139436,mango
20,19,35,6.113935087000001,mango
19,21,34,5.074272692,mango
18,17,31,5.667507706,mango
11,36,33,5.978634285,mango
30,28,30,5.064613314,mango
18,19,27,4.772385986000001,mango
23,23,27,5.161148592,mango
37,30,34,6.797779227,mango
11,27,30,6.39474303,mango
12,19,31,5.566704378,mango
3,28,33,5.755049971,mango
37,38,32,5.417340525,mango
26,37,30,6.166173833999999,mango
14,18,30,5.191265116,mango
40,16,35,4.954739564,mango
4,20,25,5.664587011,mango
36,25,33,5.548584852,mango
30,17,31,6.804437106,mango
28,37,28,6.097869767000001,mango
38,15,30,5.075504537,mango
12,37,30,4.546466109,mango
38,19,31,5.855119267999999,mango
8,33,29,6.442393461,mango
15,27,28,4.507523551,mango
34,16,25,6.10729559,mango
11,36,31,6.47544932,mango
33,29,34,6.832979508999999,mango
12,31,26,5.395275719,mango
12,34,28,6.13526938,mango
5,16,31,4.555688532,mango
1,30,29,6.4341977560000005,mango
16,35,31,5.316875978000001,mango
35,18,26,5.279388967,mango
4,40,26,6.720041791,mango
9,29,34,5.72742254,mango
2,38,33,4.691396195,mango
26,32,32,6.810186079,mango
34,38,31,6.454045329,mango
5,32,33,5.842763773,mango
31,29,26,5.024124683999999,mango
34,34,35,6.422710539,mango
36,19,32,4.94295037,mango
7,17,26,6.414526606,mango
38,15,27,6.777788126,mango
5,19,25,6.441328044,mango
37,36,26,4.650536197,mango
21,31,32,5.254532213,mango
37,36,27,5.910634533,mango
23,23,30,4.755273631000001,mango
36,26,26,6.814630246,mango
24,33,35,5.342866119,mango
26,18,30,6.336234623999999,mango
22,17,26,4.754435025,mango
11,34,32,6.831706773,mango
29,35,28,6.9674177660000005,mango
22,28,26,4.947683034,mango
23,24,32,5.630619901,mango
1,35,34,6.27339822,mango
2,24,34,6.472774648,mango
39,37,25,6.953246506,mango
15,36,27,5.6437102160000014,mango
3,18,31,6.392313972999999,mango
8,38,32,4.981816523,mango
33,31,34,5.421265282999999,mango
14,29,32,6.942520105,mango
18,20,26,5.435840509,mango
9,21,32,5.870116071,mango
20,30,27,4.74910393,mango
9,38,25,5.497946899,mango
26,24,34,6.811291098,mango
31,36,29,6.460542749,mango
14,18,35,4.791146778,mango
40,16,35,6.4841522000000005,mango
28,27,34,6.526654345,mango
0,17,30,6.279133738,mango
1,29,29,6.052026047000001,mango
2,36,31,5.73171945,mango
12,27,26,5.32307197,mango
7,28,35,4.66910839,mango
0,36,26,5.101206389,mango
26,35,31,5.339556562,mango
27,21,30,5.061081874,mango
22,38,31,5.8211060360000015,mango
22,18,31,5.956027059,mango
28,23,28,5.676032581,mango
7,31,27,6.524114355,mango
29,34,26,6.2739536760000005,mango
8,37,33,6.128167757000001,mango
39,16,27,4.934964765,mango
40,24,25,5.445008416,mango
19,38,26,4.525722333,mango
21,21,30,5.403908327999999,mango
22,18,33,6.621623545,mango
31,20,30,6.207495815,mango
18,26,31,5.418475257000001,mango
24,130,195,6.112305667,grapes
13,144,204,6.092241627000001,grapes
22,123,205,5.896343436,grapes
36,125,196,6.15526103,grapes
24,131,196,5.732453638,grapes
2,123,198,6.253034534,grapes
35,140,197,6.106190557000001,grapes
11,122,195,5.647202395,grapes
6,123,203,6.130310493,grapes
17,134,204,6.499604931,grapes
25,130,197,5.554831977,grapes
27,145,205,5.800242694,grapes
9,122,201,5.570290539,grapes
16,139,203,6.27564088,grapes
32,141,204,5.536645599,grapes
22,138,195,6.208196881,grapes
31,144,202,5.870600622,grapes
3,136,205,6.334771461,grapes
28,122,197,5.856575335,grapes
4,136,204,5.898944282,grapes
39,145,201,5.775600435,grapes
38,132,197,5.931101816,grapes
36,133,198,6.2286454,grapes
25,121,201,5.594240602999999,grapes
15,125,199,5.569230319,grapes
24,140,205,5.93202852,grapes
13,132,203,6.423216506,grapes
5,126,197,6.417500829,grapes
30,120,200,6.234904253,grapes
23,142,197,6.000573725,grapes
26,135,203,5.6851027689999984,grapes
7,126,203,5.662140095,grapes
32,139,198,6.358186848,grapes
9,141,202,6.119495295,grapes
20,142,196,6.207600782999999,grapes
32,129,201,6.48754639,grapes
3,134,199,5.81717753,grapes
38,138,204,6.325480034,grapes
14,131,198,5.562790949,grapes
20,122,204,6.487369687,grapes
40,126,201,6.116982944,grapes
36,128,204,5.695792761,grapes
11,132,197,5.7343170070000005,grapes
0,137,195,6.329499832000001,grapes
19,123,200,6.167013532,grapes
31,136,197,5.653776057999999,grapes
4,134,200,5.840256272,grapes
39,139,201,5.5399808120000005,grapes
8,127,196,5.833302165,grapes
39,138,203,6.399433771,grapes
32,120,204,6.138958698,grapes
12,142,203,5.972850837999999,grapes
8,133,195,6.456079585,grapes
8,139,199,6.3364266670000005,grapes
21,134,202,6.425419926,grapes
40,140,195,6.2943956760000015,grapes
39,127,202,6.477768039,grapes
19,120,195,5.931538447,grapes
21,139,201,5.980598579,grapes
17,136,195,6.389783283,grapes
33,139,203,5.693287415,grapes
22,133,201,6.00299607,grapes
32,130,196,6.372959542,grapes
37,135,205,5.510924848999999,grapes
15,140,195,5.69945282,grapes
39,132,196,5.778594403,grapes
40,121,199,6.315586313,grapes
40,132,202,5.9718130060000005,grapes
29,142,203,5.891195653,grapes
32,121,199,6.129812716,grapes
6,140,205,6.313085601,grapes
8,120,196,6.053662544,grapes
34,133,202,5.804799142,grapes
35,135,199,6.400719746,grapes
16,145,199,5.953966361,grapes
8,136,201,5.6092559920000005,grapes
25,129,195,5.777271492000001,grapes
16,130,201,5.682395429,grapes
39,129,203,5.863996687,grapes
38,135,203,6.444373116,grapes
33,120,205,5.550832177999999,grapes
35,125,204,6.107741787999999,grapes
1,132,200,5.620745638,grapes
39,140,203,6.349875906,grapes
28,145,202,6.484323189,grapes
6,128,200,5.838748311,grapes
6,139,199,6.29099842,grapes
29,122,196,5.638328481,grapes
37,144,197,6.415555956,grapes
38,120,197,6.323722572,grapes
38,141,198,5.757009965,grapes
14,121,203,6.1586894060000015,grapes
6,125,204,5.7335398070000005,grapes
32,138,197,5.908724337000001,grapes
11,124,204,6.361141107000001,grapes
23,138,200,5.96537863,grapes
40,143,201,6.476757723,grapes
6,142,202,6.224542938,grapes
37,124,195,6.209928251,grapes
35,134,204,5.841138354,grapes
119,25,51,6.283818329,watermelon
119,19,55,6.818261382999999,watermelon
105,30,50,6.37620108,watermelon
114,8,50,6.581587932000001,watermelon
93,22,52,6.932739726,watermelon
80,26,55,6.140099215,watermelon
85,27,45,6.467095849,watermelon
85,22,53,6.849471704,watermelon
82,22,45,6.512196212,watermelon
118,13,54,6.039584629,watermelon
83,25,53,6.057697106,watermelon
86,15,47,6.423898762,watermelon
101,10,47,6.936997681,watermelon
119,9,50,6.251286661,watermelon
104,17,46,6.190015912000001,watermelon
95,12,51,6.681606702000001,watermelon
102,14,52,6.51075991,watermelon
109,21,55,6.770278088,watermelon
81,18,50,6.429788072999999,watermelon
103,17,51,6.209888345,watermelon
105,14,50,6.419052193,watermelon
97,8,52,6.237861736,watermelon
120,19,49,6.762471628999998,watermelon
95,16,55,6.612847999,watermelon
83,29,52,6.704688865,watermelon
83,9,45,6.049609892,watermelon
91,21,50,6.762030215,watermelon
116,5,54,6.65398725,watermelon
112,28,54,6.738030547,watermelon
88,29,51,6.095689937,watermelon
118,15,45,6.538006356,watermelon
92,21,48,6.377427122,watermelon
106,14,45,6.417011754,watermelon
99,5,47,6.649086972,watermelon
98,8,51,6.25933595,watermelon
108,22,46,6.121168559,watermelon
119,7,55,6.031424482,watermelon
117,27,48,6.835268183999999,watermelon
109,10,53,6.5517503060000015,watermelon
80,16,46,6.940236218,watermelon
100,18,52,6.87606733,watermelon
91,7,53,6.457216535,watermelon
86,6,53,6.921847887999999,watermelon
107,5,52,6.8814257460000015,watermelon
103,16,49,6.915717008,watermelon
101,20,48,6.206247493999999,watermelon
85,25,47,6.29542477,watermelon
84,7,51,6.399669044,watermelon
102,28,54,6.862157042000001,watermelon
98,25,52,6.224066378,watermelon
97,25,50,6.093814669,watermelon
90,16,45,6.291540277999999,watermelon
95,12,46,6.32281728,watermelon
82,23,49,6.873283991,watermelon
82,25,51,6.074209622000001,watermelon
110,28,46,6.49889585,watermelon
118,21,51,6.678805092,watermelon
120,20,45,6.114128685,watermelon
91,7,52,6.405054243,watermelon
81,6,55,6.110142735,watermelon
101,13,54,6.828982708,watermelon
101,17,55,6.451499763999999,watermelon
111,6,53,6.313512998999999,watermelon
107,10,49,6.755192025,watermelon
115,11,46,6.623167177000001,watermelon
84,25,52,6.12532356,watermelon
120,7,47,6.653867608,watermelon
91,12,46,6.343942518,watermelon
89,22,52,6.217300786,watermelon
113,19,46,6.286387658,watermelon
97,22,50,6.769893799999998,watermelon
117,30,50,6.744966312000001,watermelon
90,14,52,6.391858432,watermelon
104,23,47,6.770434148,watermelon
81,16,45,6.727468157000001,watermelon
88,5,47,6.662244646,watermelon
92,7,45,6.944640222,watermelon
81,18,50,6.507110986,watermelon
111,5,55,6.520663422,watermelon
108,23,51,6.106500787000001,watermelon
113,30,50,6.277484042999999,watermelon
83,10,53,6.195142279,watermelon
101,11,51,6.792035575,watermelon
114,21,55,6.472756256,watermelon
99,6,45,6.000975617000001,watermelon
92,20,55,6.5877912620000005,watermelon
92,7,48,6.956508826,watermelon
91,24,55,6.259086582999999,watermelon
110,21,54,6.747537642,watermelon
112,25,51,6.932537231,watermelon
89,25,54,6.353107392999999,watermelon
100,10,53,6.211748957,watermelon
83,22,54,6.277245253999999,watermelon
95,14,50,6.560443519,watermelon
119,30,49,6.903020221,watermelon
97,12,47,6.765094963999998,watermelon
110,7,45,6.189213927000001,watermelon
96,18,50,6.904241707000001,watermelon
83,23,55,6.463271076,watermelon
120,24,47,6.260838965,watermelon
115,17,55,6.776533055,muskmelon
114,27,48,6.528404377999999,muskmelon
101,25,52,6.750145572,muskmelon
118,18,52,6.562832807,muskmelon
95,26,45,6.117530021,muskmelon
81,25,49,6.076459669,muskmelon
117,24,53,6.293486295,muskmelon
114,30,51,6.069171847000001,muskmelon
113,6,52,6.740983646,muskmelon
108,26,52,6.201797639,muskmelon
81,30,48,6.041027474,muskmelon
115,9,52,6.019372459,muskmelon
83,7,45,6.704104127000001,muskmelon
84,21,55,6.494251024,muskmelon
109,26,45,6.224535448999998,muskmelon
95,27,55,6.160414414,muskmelon
119,5,55,6.168757984,muskmelon
110,14,51,6.085444691,muskmelon
82,18,48,6.1590508160000015,muskmelon
87,14,48,6.606033244,muskmelon
85,9,53,6.447662945,muskmelon
100,6,53,6.105909623,muskmelon
107,12,46,6.559763394,muskmelon
91,13,47,6.14410903,muskmelon
102,25,50,6.099662369,muskmelon
117,25,53,6.413927319,muskmelon
85,21,52,6.0751441160000015,muskmelon
104,25,55,6.123802502,muskmelon
102,24,54,6.698468621,muskmelon
116,25,50,6.088885814,muskmelon
100,17,48,6.367800632000001,muskmelon
110,25,54,6.425930938,muskmelon
104,25,51,6.469983276000002,muskmelon
107,11,54,6.094016337999999,muskmelon
98,26,52,6.150090898999999,muskmelon
88,17,52,6.646962425,muskmelon
87,25,46,6.379690748,muskmelon
120,8,46,6.732834334,muskmelon
95,13,46,6.126019932,muskmelon
108,22,47,6.161123579,muskmelon
82,13,52,6.442810053,muskmelon
120,23,55,6.732049075,muskmelon
110,22,47,6.243673725,muskmelon
95,23,45,6.266208727,muskmelon
