episode_number,season,episode_title,description,ratings,votes,viewership_mil,duration,release_date,guest_stars,director,writers,has_guests,scaled_ratings
0,1,Pilot,"The premiere episode introduces the boss and staff of the Dunder-Mifflin Paper Company in Scranton, Pennsylvania in a documentary about the workplace.",7.5,4936,11.2,23,2005-03-24,,Ken Kwapis,Ricky Gervais |Stephen Merchant and Greg Daniels,False,0.28125
1,1,Diversity Day,"Michael's off color remark puts a sensitivity trainer in the office for a presentation, which prompts Michael to create his own.",8.3,4801,6.0,23,2005-03-29,,Ken Kwapis,B. J. Novak,False,0.53125
2,1,Health Care,"Michael leaves Dwight in charge of picking the new healthcare plan for the staff, with disastrous results ahead.",7.8,4024,5.8,22,2005-04-05,,Ken Whittingham,Paul Lieberstein,False,0.375
3,1,The Alliance,"Just for a laugh, Jim agrees to an alliance with Dwight regarding the downsizing rumors.",8.1,3915,5.4,23,2005-04-12,,Bryan Gordon,Michael Schur,False,0.46875
4,1,Basketball,Michael and his staff challenge the warehouse workers to a basketball game with a bet looming over both parties.,8.4,4294,5.0,23,2005-04-19,,Greg Daniels,Greg Daniels,False,0.5625
5,1,Hot Girl,Michael is just one of the many male staff who start vying for the attention of an attractive saleswoman in the office.,7.7,3854,4.8,23,2005-04-26,Amy Adams,Amy Heckerling,Mindy Kaling,True,0.34375
6,2,The Dundies,"Very much unlike his staff, an overeager Michael can't wait for this year's annual Dundies awards.",8.7,4315,9.0,21,2005-09-20,,Greg Daniels,Mindy Kaling,False,0.6562499999999996
7,2,Sexual Harassment,The office reviews its sexual harassment policy in light of explicit e-mails.,8.2,3665,7.13,22,2005-09-27,,Ken Kwapis,B. J. Novak,False,0.4999999999999996
8,2,Office Olympics,"Ready to finalize his deal for a new condo, Michael is away with Dwight while Jim rallies the staff together for office games.",8.4,3665,8.3,22,2005-10-04,Nancy Carell,Paul Feig,Michael Schur,True,0.5625
9,2,The Fire,A fire in the kitchen relegates the staff to the parking lot as help is on its way.,8.4,3607,7.6,22,2005-10-11,Amy Adams,Ken Kwapis,B. J. Novak,True,0.5625
10,2,Halloween,"Michael is pressured by corporate to fire someone, which puts a damper on the office Halloween party.",8.1,3392,8.0,30,2005-10-18,,Paul Feig,Greg Daniels,False,0.46875
11,2,The Fight,Jim rallies the staff together to witness a showdown between Michael and Dwight at Dwight's martial arts school.,8.1,3388,7.9,22,2005-11-01,,Ken Kwapis,Gene Stupnitsky | Lee Eisenberg,False,0.46875
12,2,The Client,"With Michael and Jan Levinson-Gould away from the office to land a new client, the staff discovers an unproduced screenplay in Michael's office.",8.6,3533,7.5,22,2005-11-08,Tim Meadows,Greg Daniels,Paul Lieberstein,True,0.625
13,2,Performance Review,"Instead of talking to his employees about their work, Michael uses their annual review time to gather feedback on his ""relationship"" with Jan.",8.2,3216,8.0,22,2005-11-15,,Paul Feig,Larry Wilmore,False,0.4999999999999996
14,2,E-Mail Surveillance,"Michael decides to set up e-mail surveillance for all company e-mail, and discovers that Jim has invited everyone over for a barbeque except him.",8.4,3338,8.1,23,2005-11-22,Ken Jeong,Paul Feig,Jennifer Celotta,True,0.5625
15,2,Christmas Party,"Seeing the party is headed for disastrous boredom, Michael breaks corporate policy to buy alcohol for the staff.",8.9,3663,9.7,22,2005-12-06,,Charles McDougall,Michael Schur,False,0.71875
16,2,Booze Cruise,"The Dunder Mifflin staff go on a mandatory ""booze cruise"" to hear Michael give a motivational talk.",8.6,3536,8.7,22,2006-01-05,Rob Riggle,Ken Kwapis,Greg Daniels,True,0.625
17,2,The Injury,"Michael's ""injury"" from a George Foreman Grill distracts the staff from Dwight, the one with the real injury.",9.1,4314,10.3,22,2006-01-12,,Bryan Gordon,Mindy Kaling,False,0.7812499999999996
18,2,The Secret,"Jim fears the secret he told to Michael, in confidence, will be revealed to the staff.",8.3,3142,8.7,22,2006-01-19,,Dennie Gordon,Lee Eisenberg | Gene Stupnitsky,False,0.53125
19,2,The Carpet,Michael's office becomes the victim of an odorous prank which subjects the office to his punishment.,7.8,3118,8.6,22,2006-01-26,,Victor Nelli Jr.,Paul Lieberstein,False,0.375
20,2,Boys and Girls,"Jan comes into the Scranton Branch to give all the female employees a group seminar on women in the workplace. Upset that he is not allowed in on the proceedings, Michael takes all the men ...
                    See full summaryÃƒâ€šÃ‚Â Ãƒâ€šÃ‚Â»",8.2,3091,5.42,22,2006-02-02,,See full summary,B. J. Novak,False,0.4999999999999996
21,2,Valentine's Day,"When Michael visits Dunder Mifflin corporate headquarters in New York on Valentine's Day, he and Jan are both in for a surprise. Meanwhile, back in Scranton, the office staff celebrates Valentine's Day grade school style.",8.3,3104,8.95,22,2006-02-09,Conan O'Brien,Greg Daniels,Michael Schur,True,0.53125
22,2,Dwight's Speech,Michael coaches pompous Dwight on the finer art of public speaking after being named as Salesman of the Year.,8.5,3283,8.4,22,2006-03-02,,Charles McDougall,Paul Lieberstein,False,0.59375
23,2,Take Your Daughter to Work Day,"A routine office day is changed when children come to Dunder Mifflin for ""Take Your Daughter to Work Day."" Michael is surprised when he strikes up a friendship with the five-year old ...
                    See full summaryÃƒâ€šÃ‚Â Ãƒâ€šÃ‚Â»",8.3,3212,8.8,21,2006-03-16,,See full summary,Mindy Kaling,False,0.53125
24,2,Michael's Birthday,"In celebration of his birthday, Michael makes a mandatory invite of the staff during the workday to go ice skating.",8.1,3094,7.8,22,2006-03-30,,Ken Whittingham,Gene Stupnitsky | Lee Eisenberg,False,0.46875
25,2,Drug Testing,Dwight plays the role of Volunteer Sheriff after finding half a joint in the Dunder Mifflin parking lot leading to an investigation. Pam gives Jim a play challenge which he tries to complete.,8.4,3172,7.8,22,2006-04-27,,Greg Daniels,Jennifer Celotta,False,0.5625
26,2,Conflict Resolution,"When Michael takes over conflict resolution duties from HR, chaos ensues at Dunder Mifflin.",8.7,3253,7.4,22,2006-05-04,,Charles McDougall,Greg Daniels,False,0.6562499999999996
27,2,Casino Night,The Dunder Mifflin crew holds a casino party at the warehouse and Michael has two dates.,9.4,4765,7.6,29,2006-05-11,,Ken Kwapis,Steve Carell,False,0.875
28,3,Gay Witch Hunt,"Michael apologizes to Oscar, after he finds out he's gay, for calling him a homosexual slur--but his apology outs Oscar to the entire office. And Jim decides to take a promotion at the Stamford office.",9.0,4133,9.11,23,2006-09-21,,Ken Kwapis,Greg Daniels,False,0.75
29,3,The Convention,"Michael and Dwight go to a convention in Philadelphia and run into Jim, and Michael becomes jealous of Jim's relationship with his new boss. Meanwhile, Pam gets ready for her first date since her engagement.",8.2,3027,7.78,22,2006-09-28,Jerome Bettis,Ken Whittingham,Gene Stupnitsky | Lee Eisenberg,True,0.4999999999999996
30,3,The Coup,"Michael is in trouble once again as Jan busts him for declaring it's ""Movie Monday"" where everyone watches a movie and neglects work. Angela pushes Dwight to make a move on Michael's job while Pam and Jim find creative ways to waste time.",8.5,3175,8.89,22,2006-10-05,,Greg Daniels,Paul Lieberstein,False,0.59375
31,3,Grief Counseling,Michael takes on the role of office grief counselor when he learns that his old boss has died.,8.0,3049,8.83,22,2006-10-12,,Roger Nygard,Jennifer Celotta,False,0.4375
32,3,Initiation,Dwight takes former temp Ryan to his beet farm to initiate Ryan to his new job at Dunder Mifflin.,8.1,2976,8.46,22,2006-10-19,,Randall Einhorn,B. J. Novak,False,0.46875
33,3,Diwali,"Michael encourages the entire Scranton branch to support Kelly and attend a local celebration of Diwali, the Hindu Festival of Lights. Meanwhile, Andy convinces Jim to turn a late night of work into a drinking game.",7.9,3082,8.81,22,2006-11-02,,Miguel Arteta,Mindy Kaling,False,0.40625
34,3,Branch Closing,"When Jan tells Michael that the Scranton Branch will be shutting down, Michael strives to keep his staff's spirits up. Meanwhile, everyone privately begins to envision how their lives will change in the aftermath.",8.6,3021,8.05,31,2006-11-09,,Tucker Gates,Michael Schur,False,0.625
35,3,The Merger,Jan informs Michael that the Scanton branch of Dunder Mifflin will be merging with the Stamford Branch. Jim and Pam are reunited while the other employees of both branches must adjust to their new co-workers.,8.7,3166,8.63,30,2006-11-16,,Ken Whittingham,Brent Forrester,False,0.6562499999999996
36,3,The Convict,"Michael learns that one of the new employees at Dunder Mifflin Scranton has a criminal record. Meanwhile, Jim helps Andy make a move on Pam.",8.3,3151,9.07,30,2006-11-30,,Jeffrey Blitz,Ricky Gervais | Stephen Merchant,False,0.53125
37,3,A Benihana Christmas,"Trouble among the members of the party planning committee results with Pam and Karen hosting a rival Christmas party, but Michael isn't interested in celebrating after being dumped by Carol.",8.8,3343,8.44,42,2006-12-14,,Harold Ramis,Jennifer Celotta,False,0.6875
38,3,Back from Vacation,"Michael isn't supposed to let anyone know that he and Jan went on vacation together in Jamaica, but he accidentally circulates a compromising photo of them to the office via e-mail.",8.5,3001,8.8,21,2007-01-04,,Julian Farino,Justin Spitzer,False,0.59375
39,3,Traveling Salesmen,"Dwight does a favor for Angela to keep her from getting in trouble. Andy finds out and uses it against him to get in tighter with Michael. Now Dwight must fess up, which will reveal his relationship with Angela, or risk getting fired.",8.6,3053,10.12,22,2007-01-11,,Greg Daniels,Michael Schur | Lee Eisenberg | Gene Stupnitsky,False,0.625
40,3,The Return,"Andy does the impossible--he makes everyone in the office miss Dwight, who is forced to take a job at Staples. Meanwhile, Oscar comes back to the office and Michael predictably throws a stereotypical Mexican party to celebrate.",8.8,3211,10.2,28,2007-01-18,,Greg Daniels,Lee Eisenberg | Gene Stupnitsky | Michael Schur,False,0.6875
41,3,Ben Franklin,"Michael asks Jim to get a male stripper for Phyllis's office bachelorette party, but he gets a Ben Franklin impersonator instead. Meanwhile, the men's bachelor party goes as planned until Michael becomes uncomfortable with the stripper.",8.1,2975,10.11,21,2007-02-01,,Randall Einhorn,Mindy Kaling,False,0.46875
42,3,Phyllis' Wedding,"Michael exaggerates the importance of his small role in Phyllis's wedding and makes an ass out of himself, and Pam notices that Phyllis stole all of her wedding ideas from her original wedding plans.",8.2,2995,8.84,21,2007-02-08,,Ken Whittingham,Caroline Williams,False,0.4999999999999996
43,3,Business School,"Michael is a guest speaker for Ryan's business class, but they have a falling-out after Michael finds out that Ryan spoke negatively about Dunder-Mifflin. And back at the office, Dwight tries to kill a bat that he found in the ceiling.",8.9,3460,8.84,22,2007-02-15,,Joss Whedon,Brent Forrester,False,0.71875
44,3,Cocktails,"While Michael and Jan go to their first Dunder Mifflin outing as an official couple, the office workers left behind go out for happy hour. During happy hour, Roy finds out that Jim and Pam kissed at Casino Night.",8.5,2969,8.3,21,2007-02-22,,J.J. Abrams,Paul Lieberstein,False,0.59375
45,3,The Negotiation,"Dwight saves Jim from an attack by Roy, but Dwight won't allow Jim to thank him for it. Meanwhile, Darryl asks Michael for a pay raise, and Michael discovers that he is woefully underpaid--so Michael goes to headquarters to ask for one himself.",9.0,3368,6.74,30,2007-04-05,,Jeffrey Blitz,Michael Schur,False,0.75
46,3,Safety Training,"Andy returns to the office after weeks of anger management training, determined to make a fresh start with all the Dunder-Mifflin employees. Meanwhile, it's safety training day in the office, and Michael and Dwight are on a mission to illuminate the dangers of the workplace.",8.8,3164,7.71,21,2007-04-12,,Harold Ramis,B. J. Novak,False,0.6875
47,3,Product Recall,"Michael tries to be proactive during a watermark crisis, but only makes the situation worse. Meanwhile, Angela has trouble being apologetic with customers, and Andy discovers a secret about his new girlfriend.",8.7,3138,7.56,21,2007-04-26,,Randall Einhorn,Justin Spitzer | Brent Forrester,False,0.6562499999999996
48,3,Women's Appreciation,"Phyllis gets flashed in the parking lot, and Dwight goes all out to secure the premises. Michael ostensibly takes the women in the office to the mall to comfort them, but he's really doing it to get advice about breaking up with Jan.",8.8,3158,7.0,29,2007-05-03,,Tucker Gates,Gene Stupnitsky | Lee Eisenberg,False,0.6875
49,3,Beach Games,"Michael uses ""beach day"" at Dunder-Mifflin to find out which employee would be his most capable replacement, just in case he receives the promotion to the New York office that he's applied for.",9.2,3641,7.2,28,2007-05-10,,Harold Ramis,Jennifer Celotta | Greg Daniels,False,0.8124999999999996
50,3,The Job,"Michael appoints Dwight as regional manager, anticipating that he will receive the job at corporate. Jim and Karen also interview for the same position. And Michael gets back together with Jan after she gets a boob job.",9.3,3898,7.88,42,2007-05-17,,Ken Kwapis,Paul Lieberstein | Michael Schur,False,0.84375
51,4,Fun Run,"Michael accidentally runs over Meridith in the parking lot, and his guilt causes him to organize a 5-K run for her. Dwight and Angela have a falling-out after he kills her cat, and Jim and Pam's relationship is discovered.",8.8,3635,9.7,42,2007-09-27,,Greg Daniels,Greg Daniels,False,0.6875
52,4,Dunder Mifflin Infinity,"Michael feels threatened when Ryan returns to the Scranton office to share his ideas about the future of Dunder Mifflin. Jim and Pam's relationship is shared with the entire office, while Angela and Dwight's relationship is on the rocks.",8.3,2934,8.49,42,2007-10-04,,Craig Zisk,Michael Schur,False,0.53125
53,4,Launch Party,"The Dunder Mifflin Infinity website is launching and Michael is excited about going to the big launch party in New York while Angela plans a satellite party for the Scranton branch. ...
                    See full summaryÃƒâ€šÃ‚Â Ãƒâ€šÃ‚Â»",8.4,2844,8.91,42,2007-10-11,Kevin McHale,See full summary,Jennifer Celotta,True,0.5625
54,4,Money,"As Jan renovates the condo, Michael confronts his growing debt every way he can, which includes pressuring his employees for a loan. Pam and Jim spend a night out on Dwight's family beet farm, now a bed and breakfast.",8.7,3073,8.5,42,2007-10-18,,Paul Lieberstein,Paul Lieberstein,False,0.6562499999999996
55,4,Local Ad,"Michael tries to make a local Dunder Mifflin commercial that is better than the one the professional ad agency made for them. Meanwhile, Andy tries to confide in Dwight about his new relationship with Angela.",8.8,3125,8.98,22,2007-10-25,,Jason Reitman,B. J. Novak,False,0.6875
56,4,Branch Wars,"Michael and Dwight try to play a prank on Karen, who is now manager of the Utica branch, after she tries to steal Stanley from the Scranton office. Meanwhile, Pam, Toby, and Oscar start their own exclusive office book club.",8.5,2878,8.39,30,2007-11-01,,Joss Whedon,Mindy Kaling,False,0.59375
57,4,Survivor Man,"After Michael isn't invited to a camping trip with Ryan, he sets out to prove that he can brave it out in the wilderness by himself. Jim, who is in charge of the office while Michael is gone, tries to change the birthday party policy.",8.2,2775,8.29,30,2007-11-08,,Paul Feig,Steve Carell,False,0.4999999999999996
58,4,The Deposition,"Michael is put in an awkward position when Jan sues Dunder Mifflin for wrongful termination and he is deposed as a witness. Meanwhile, Kelly begins smack-talking Pam after Darryl beats Jim at Ping-Pong.",8.7,2923,8.86,30,2007-11-15,,Julian Farino,Lester Lewis,False,0.6562499999999996
59,4,Dinner Party,"Michael invites Jim and Pam and Andy and Angela to a couples-only dinner party, which makes Dwight very jealous. However, the only thing he's missing is a ringside seat to witness Michael and Jan's extremely dysfunctional home life.",9.5,5601,9.22,30,2008-04-10,,Paul Feig,Gene Stupnitsky | Lee Eisenberg,False,0.90625
60,4,Chair Model,"Kevin and Andy team up to reclaim the stolen Dunder Mifflin parking spaces, which forces them into a showdown with the other four bosses of the office park. Meanwhile, Michael becomes fascinated by a woman modeling chairs in a catalog.",8.0,2757,9.81,30,2008-04-17,,Jeffrey Blitz,B. J. Novak,False,0.4375
61,4,Night Out,"Michael and Dwight go to New York to party with Ryan, who is having lots of personal and professional problems. The rest of the office employees work late, and wind up getting locked in the business park.",8.6,2872,7.56,21,2008-04-24,,Ken Whittingham,Mindy Kaling,False,0.625
62,4,Did I Stutter?,"Michael tries to figure out how to respond to Stanley's insubordination during a meeting, and Dwight buys Andy's vehicle and immediately flips it for more money.",8.3,2756,7.67,22,2008-05-01,,Randall Einhorn,Brent Forrester | Justin Spitzer,False,0.53125
63,4,Job Fair,"Dunder-Mifflin participates in a high school job fair, but few students are interested. Jim, Andy, and Kevin play a round of golf with a prospective client. Back at the office, everyone but Dwight and Angela leave for the day.",7.8,2627,7.22,30,2008-05-08,,Tucker Gates,Lee Eisenberg | Gene Stupnitsky,False,0.375
64,4,"Goodbye, Toby","Michael throws an extravagant going-away party for Toby, and falls in love with the woman who is replacing him. Jim plans to propose to Pam at the party, but gets out-staged. Back at corporate, Ryan is arrested for fraud.",9.3,3939,8.07,42,2008-05-15,,Paul Feig,Jennifer Celotta | Paul Lieberstein,False,0.84375
65,5,Weight Loss,"Michael tries to motivate the Scranton branch to lose weight as part of an interoffice competition. Jim is lost after Pam leaves for art school in New York, and Angela continues to see Dwight even though she is now engaged to Andy.",8.8,3264,9.2,43,2008-09-25,,Paul Feig,Lee Eisenberg | Gene Stupnitsky,False,0.6875
66,5,Business Ethics,A confession at an H.R. business ethics seminar leads to a dispute between Michael and Holly over whether Meredith should be fired. Dwight tries to prove to Jim how long he can go without taking a personal break.,8.3,2654,8.99,22,2008-10-09,Wendi McLendon-Covey,Jeffrey Blitz,Ryan Koh,True,0.53125
67,5,Baby Shower,"After planning an office baby shower for Jan, Michael is upset when he finds out that she had the baby without him--even though he's already been told that he's not the baby's father.",8.0,2621,8.07,22,2008-10-16,,Greg Daniels,Aaron Shure,False,0.4375
68,5,Crime Aid,"Michael and Holly have sex for the first time, and Michael holds a fund-raiser for the office after it is burglarized. Dwight confides in Phyllis after Andy and Angela set a wedding date, and Jim runs into Pam's ex-fiancÃƒÆ’Ã‚Â©, Roy.",8.1,2525,7.74,30,2008-10-23,,Jennifer Celotta,Charlie Grandy,False,0.46875
69,5,Employee Transfer,Holly is transferred back to New Hampshire after corporate discovers that she and Michael are dating. Dwight tries to apply to Cornell to get under Andy's skin. Jim's brothers and Pam decide to play a trick on Jim when they meet for lunch.,8.0,2600,9.32,22,2008-10-30,,David Rogers,Anthony Q. Farrell,False,0.4375
70,5,Customer Survey,"Dwight and Jim believe that something is suspicious about their low customer performance ratings. After consulting with Angela, Andy finds the perfect site for their wedding--Dwight's beet farm.",8.5,2717,8.35,22,2008-11-06,,Stephen Merchant,Lester Lewis,False,0.59375
71,5,Business Trip,"David Wallace sends Michael on a business trip to Winnipeg to help him forget about Holly's transfer to Nashua, and Pam tells Jim that she failed a class and has to stay in New York City.",8.2,2516,8.18,30,2008-11-13,,Randall Einhorn,Brent Forrester,False,0.4999999999999996
72,5,Frame Toby,"When Michael discovers that corporate has brought back Toby to replace Holly, he tries to frame him with drugs and to get him fired. Meanwhile, Pam has issues with the disgusting microwave....
                    See full summaryÃƒâ€šÃ‚Â Ãƒâ€šÃ‚Â»",8.6,2799,8.4,30,2008-11-20,,See full summary,Mindy Kaling,False,0.625
73,5,The Surplus,"Michael has to spend the office surplus by they end of the day, but he can't decide between a copier or new chairs. Dwight plays a dirty trick on Angela as they prepare for Andy and Angela's wedding on the beet farm.",8.8,2776,8.33,22,2008-12-04,,Paul Feig,Gene Stupnitsky | Lee Eisenberg,False,0.6875
74,5,Moroccan Christmas,"Phyllis blackmails Angela into doing the work for the Christmas party, which Michael turns into an intervention after Meredith gets drunk and sets her hair on fire. Meanwhile, Dwight corners the market on a popular Christmas gift.",8.4,2613,8.79,30,2008-12-11,,Paul Feig,Justin Spitzer,False,0.5625
75,5,The Duel,"Moments before he leaves for New York for a meeting with David Wallace, Michael tells Andy that Angela and Dwight are seeing each other. Andy and Dwight then decide to have it out in the parking lot.",8.7,2711,8.5,30,2009-01-15,,Dean Holland,Jennifer Celotta,False,0.6562499999999996
76,5,Prince Family Paper,"Michael's conscience gets the best of him after he and Dwight go undercover to scout a family-run competitor. Back at the office, everyone else spends the day debating whether Hilary Swank is hot.",8.0,2615,8.74,22,2009-01-22,,Asaad Kelada,B. J. Novak,False,0.4375
77,5,Stress Relief,"Dwight's too-realistic fire alarm gives Stanley a heart attack. When he returns, Michael learns that he is the cause of Stanley's stress. To remedy the situation, he forces the office to throw a roast for him.",9.7,8170,22.91,60,2009-02-01,"Cloris Leachman, Jack Black, Jessica Alba",Jeffrey Blitz,Paul Lieberstein,True,0.9687499999999996
78,5,Lecture Circuit: Part 1,"While on lecture tour to other Dunder Mifflin branches, Michael and Pam discover that Jim's ex-girlfriend Karen is pregnant. At the office, Andy falls for a prospective client, and Jim and Dwight try to set up Kelly's birthday party.",8.2,2474,8.39,30,2009-02-05,,Ken Kwapis,Mindy Kaling,False,0.4999999999999996
79,5,Lecture Circuit: Part 2,"Michael and Pam go to Nashua and discover that Holly has a new boyfriend. At the office, Jim and Dwight try to come up with a theme for Kelly's birthday party, and Angela gets a new cat.",8.1,2431,8.89,30,2009-02-12,,Ken Kwapis,Mindy Kaling,False,0.46875
80,5,Blood Drive,"Michael holds a lonely hearts party on Valentine's Day at the office, hoping that he will run into a woman he met earlier that day at a blood drive. Meanwhile, Jim and Pam have an awkward lunch with Phillis and Bob Vance.",8.0,2464,8.63,22,2009-03-05,,Randall Einhorn,Brent Forrester,False,0.4375
81,5,Golden Ticket,"Michael asks Dwight to be the scapegoat for one of his business ideas that backfired badly on him. But when that idea has an unexpected positive upside, Dwight still takes credit and Michael becomes furious.",8.7,2667,7.51,30,2009-03-12,,Randall Einhorn,Mindy Kaling,False,0.6562499999999996
82,5,New Boss,"Michael gets upset when he gets a new boss to act as a buffer between him and David Wallace, and he gets even more upset when he disbands the Party Planning Committee and cancels Michael's fifteenth anniversary party.",8.3,2503,7.95,30,2009-03-19,Idris Elba,Paul Feig,Lee Eisenberg | Gene Stupnitsky,True,0.53125
83,5,Two Weeks,"As Michael prepares to leave Dunder Mifflin, he announces that he will form his own paper company. Will anybody join him?",8.4,2492,8.45,30,2009-03-26,,Paul Lieberstein,Aaron Shure,False,0.5625
84,5,Dream Team,Michael and Pam begin their first day as the Michael Scott Paper Company putting together the rest of the staff and trying to raise money.,8.3,2484,7.2,30,2009-04-09,,Paul Feig,B. J. Novak,False,0.53125
85,5,Michael Scott Paper Company,"Tension and disillusionment begin to emerge as Michael, Pam, and Ryan move the Michael Scott Paper Company into a cramped ""workspace"" at the business park.",8.7,2718,7.94,22,2009-04-09,,Gene Stupnitsky,Justin Spitzer,False,0.6562499999999996
86,5,Heavy Competition,"Dwight chooses loyalty to Dunder Mifflin over loyalty to Michael, which leads to a bitter battle between Michael and Dwight over Dwight's accounts. Back at Dunder Mifflin, Jim pretends to confide in Andy.",8.7,2568,8.24,30,2009-04-16,,Ken Whittingham,Ryan Koh,False,0.6562499999999996
87,5,Broke,"The Michael Scott Paper Company is gaining clients by offering lower prices than Dunder Mifflin, but is going broke in the process. However, Dunder Mifflin is losing clients to Michael, and is desperate to buy him out.",9.2,3409,7.21,30,2009-04-23,,Steve Carell,Charlie Grandy,False,0.8124999999999996
88,5,Casual Friday,"Michael returns to Dunder Mifflin and brings Ryan and Pam in as salespeople, but the existing salespeople demand that Michael return the clients they stole back to them. Meanwhile, some employees take the idea of Casual Friday too far.",8.3,2467,7.31,22,2009-04-30,,Brent Forrester,Anthony Q. Farrell,False,0.53125
89,5,Cafe Disco,"Michael tries to create a place to escape from work in the storage room that used to house the Michael Scott Paper Company, while Jim and Pam consider taking off and getting married that day.",8.7,2814,7.71,30,2009-05-07,,Randall Einhorn,Warren Lieberstein | Halsted Sullivan,False,0.6562499999999996
90,5,Company Picnic,"Michael runs into Holly at the company picnic, and the two of them accidentally reveal that the Buffalo branch is closing during a comedy skit before corporate has made the announcement.",9.0,2954,6.72,30,2009-05-14,,Ken Kwapis,Jennifer Celotta | Paul Lieberstein,False,0.75
91,6,Gossip,"Michael regrets revealing that Stanley is having an affair, so he spreads a bunch of lies about everyone else to cover his tracks--except that one of the lies that he spread actually turns out to be true.",8.8,2866,8.2,30,2009-09-17,,Paul Lieberstein,Paul Lieberstein,False,0.6875
92,6,The Meeting,"Michael sabotages--then promotes--Jim's efforts at getting a promotion, while Dwight and Toby try to prove that Darryl has submitted a fraudulent medical claim.",8.1,2349,7.33,30,2009-09-24,,Randall Einhorn,Aaron Shure,False,0.46875
93,6,The Promotion,Jim discovers just how hard being the boss can be when David Wallace forces Michael and him to determine which employees will be getting a raise.,8.0,2344,7.28,30,2009-10-01,,Jennifer Celotta,Jennifer Celotta,False,0.4375
