episode_number,season,episode_title,description,ratings,votes,viewership_mil,duration,release_date,guest_stars,director,writers,has_guests,scaled_ratings
94,6,Niagara: Part 1,"The Office travels to Niagara Falls to celebrate Jim and Pam's wedding under strict orders not to mention Pam's pregnancy. Michael, Dwight, and Andy all want to hook up with guests at the wedding and Michael and Dwight meet twins.",9.4,4560,9.42,30,2009-10-08,,Paul Feig,Greg Daniels | Mindy Kaling,False,0.875
95,6,Niagara: Part 2,"Pam is forced to deal with an embarrassing injury for Andy the night before her wedding, while Kevin deals with the loss of his dress shoes on the morning of the ceremony.",9.4,3114,9.42,19,2009-10-08,,Paul Feig,Greg Daniels | Mindy Kaling,False,0.875
96,6,Mafia,Michael meets with an insurance salesman that visits the office and is later convinced by Dwight and Andy that he is part of the mafia.,7.6,2464,8.1,30,2009-10-15,Mike Starr,David Rogers,Brent Forrester,True,0.3125
97,6,The Lover,"Jim and Pam return from their honeymoon and learn, to their horror, that Michael is dating Pam's mom. Meanwhile, Dwight gives Jim a ""gift""--which actually has a listening device attached to it.",8.6,2590,8.52,30,2009-10-22,,Lee Eisenberg,Lee Eisenberg | Gene Stupnitsky,False,0.625
98,6,Koi Pond,"Michael is upset when he becomes the butt of all the office jokes after he falls in a koi pond. Andy and Pam go out together on some cold calls, and everybody mistakes them as a married couple.",8.2,2348,8.2,30,2009-10-29,,Reginald Hudlin,Warren Lieberstein | Halsted Sullivan,False,0.4999999999999996
99,6,Double Date,"Michael sparks more anger from Pam when he breaks up with her mom on her birthday after he finds out she's 58, and Dwight unsuccessfully tries to get everyone in the office to owe him a favor.",8.1,2314,7.94,30,2009-11-05,,Seth Gordon,Charlie Grandy,False,0.46875
100,6,Murder,"The entire office is preoccupied about rumors of Dunder Mifflin's bankruptcy. Michael tries to create a distraction by engaging everyone in murder-mystery game, but Jim wonders if that is a good idea.",8.7,2761,7.76,23,2009-11-12,,Greg Daniels,Daniel Chun,False,0.6562499999999996
101,6,Shareholder Meeting,"Michael speaks out of line at the Dunder Mifflin shareholders meeting and creates a big problem for management, while Jim discovers that nobody in the office thinks he's the ""real"" boss.",8.2,2336,7.43,30,2009-11-19,,Charles McDougall,Justin Spitzer,False,0.4999999999999996
102,6,Scott's Tots,"Ten years ago, Michael promised a group of third graders he would pay for their college tuition if they graduated. Now comes time to pay, and he can't do it. At the office, Dwight's employee of the month idea gets Jim in big trouble.",8.3,2681,8.1,30,2009-12-03,,B.J. Novak,Gene Stupnitsky | Lee Eisenberg,False,0.53125
103,6,Secret Santa,"Michael gets upset when Jim promises Phyllis that she can be the office Santa, but the office Christmas party may be overshadowed by some bad news from David Wallace.",8.5,2467,8.51,30,2009-12-10,,Randall Einhorn,Mindy Kaling,False,0.59375
104,6,The Banker,A banker representing a potential buyer comes to the Scranton branch to interview the H.R. department before the sale goes through.,6.8,3039,7.29,30,2010-01-21,,Jeffrey Blitz,Jason Kessler,False,0.0625
105,6,Sabre,"Michael hates the changes that Dunder Mifflin's new owner is implementing, so he turns to David Wallace for advice. Jim and Pam find the perfect day care center, but Jim's mistake threatens to ruin the interview.",7.7,2251,7.36,30,2010-02-04,Christian Slater,John Krasinski,Jennifer Celotta,True,0.34375
106,6,Manager and Salesman,"Sabre's CEO wants the Scranton branch to have one manager, and Michael voluntarily steps down and lets Jim become the boss when he finds out that salespeople make more money. However, he soon comes to regret the decision.",8.1,2223,7.4,30,2010-02-11,,Marc Webb,Mindy Kaling,False,0.46875
107,6,The Delivery: Part 1,"Pam goes into labor and Jim is ready to take her to the hospital, but she refuses to go. Meanwhile, inspired by Pam and Jim's baby, Dwight and Angela try to reach a ""business agreement"" to have a baby of their own.",8.4,2347,9.0,30,2010-03-04,,Seth Gordon,Daniel Chun,False,0.5625
108,6,The Delivery: Part 2,"After the baby is born, Pam has trouble getting the baby to breastfeed. At the office, Michael takes credit for hooking Jim and Pam up, and tries to do the same thing for Kevin and Erin, making Andy jealous.",8.5,2370,9.0,30,2010-03-04,Mellisa Rauch,Harold Ramis,Daniel Chun,True,0.59375
109,6,St. Patrick's Day,"It's St. Patrick's Day, and the CEO forces the office to work late because she won't leave. In addition, Michael unsuccessfully tries to suck up to his new boss, and Andy and Erin's first date is delayed because Erin is sick.",7.7,2196,7.51,30,2010-03-11,,Randall Einhorn,Jonathan Hughes,False,0.34375
110,6,New Leads,"When the sales staff begins trying to boss around everyone in the office, Michael tries to teach them a lesson by withholding a valuable set of sales leads.",7.7,2154,7.63,23,2010-03-18,,Brent Forrester,Brent Forrester,False,0.34375
111,6,Happy Hour,"Oscar gets everybody in the office to go to Happy Hour so that he can hit on a coworker in shipping. Pam tries to set up Michael with a friend at the bar, but Michael's alter ego, ""Date Mike,"" threatens to spoil the entire evening.",8.6,2503,7.17,30,2010-03-25,,Matt Sohn,B. J. Novak,False,0.625
112,6,Secretary's Day,"Michael creates problems for Andy on Secretary's Day when he tells Erin that Andy was engaged to Angela, and Kevin is upset after Oscar makes a video comparing Kevin to Cookie Monster.",7.8,2168,6.3,30,2010-04-22,,Steve Carell,Mindy Kaling,False,0.375
113,6,Body Language,"Michael is hopeful that a potential client is interested in him, but everyone in the office except Pam thinks he's wasting his time. Meanwhile, Dwight recruits Kelly to apply for the Sabre minority management training program.",8.0,2197,7.01,30,2010-04-29,,Mindy Kaling,Justin Spitzer,False,0.4375
114,6,The Cover-Up,"Michael becomes convinced that Donna is having an affair and puts Dwight on the case, but Pam soon discovers that the suspicions may be true. Meanwhile, Darryl gets revenge on Andy for an earlier incident.",8.1,2199,6.84,30,2010-05-06,,Rainn Wilson,Gene Stupnitsky | Lee Eisenberg,False,0.46875
115,6,The Chump,"Michael continues to see Donna even after learning she's married and meeting her husband, Dwight and Angela take their baby contract to an arbitrator, and Jim and Pam struggle to stay awake at the office.",7.8,2113,6.6,30,2010-05-13,,Randall Einhorn,Aaron Shure,False,0.375
116,6,Whistleblower,"Jo comes to the Scranton branch to find the whistle-blower. However, three different people have confessed to Michael, Michael is protecting them, and the person most people think is the culprit is keeping his mouth shut.",8.0,2184,6.6,30,2010-05-20,,Paul Lieberstein,Warren Lieberstein | Halsted Sullivan,False,0.4375
117,7,Nepotism,"Everybody demands that Michael fire the new office assistant, but he won't because he's his nephew. Meanwhile, Pam tries to play a prank on Dwight, who has bought the office building, to make up for ruining Jim's prank.",8.4,2520,8.4,30,2010-09-23,Evan Peters,Jeffrey Blitz,Daniel Chun,True,0.5625
118,7,Counseling,"Michael is forced to go through counseling with Toby, Dwight seeks revenge on a local mall that refused his business, and Pam tries to fake her way to a promotion.",8.2,2272,7.36,30,2010-09-30,,Jeffrey Blitz,B. J. Novak,False,0.4999999999999996
119,7,Andy's Play,"Andy invites the entire office to watch him in the community theater production of ""Sweeney Todd,"" but Erin decides to babysit for Jim and Pam instead, and Michael is upset because he auditioned for the lead and didn't get it.",8.2,2413,6.95,30,2010-10-07,,John Scott,Charlie Grandy,False,0.4999999999999996
120,7,Sex Ed,"A herpes scare causes Michael to get back in touch with his ex-girlfriends, where he decides to reevaluate those relationships. Meanwhile, Andy tries to teach safe sex to his officemates, but he has a clear ulterior motive.",7.8,2209,7.36,30,2010-10-14,,Paul Lieberstein,Paul Lieberstein,False,0.375
121,7,The Sting,"Michael organizes a sting operation to find out the secrets of a rival paper company's salesman who is stealing Dunder Mifflin's clients, and Andy gets Darryl's help to form a band.",7.8,2156,6.87,30,2010-10-21,Timothy Olyphant,Randall Einhorn,Mindy Kaling,True,0.375
122,7,Costume Contest,"It's Halloween at Dunder Mifflin, and Michael is upset that Darryl went over his head with an idea, and Jim and Pam are obsessed with finding out why Danny didn't call Pam back when they were dating four years ago.",8.2,2249,8.07,30,2010-10-28,,Dean Holland,Justin Spitzer,False,0.4999999999999996
123,7,Christening,"During Jim and Pam's daughter's christening, Michael becomes upset over the lack of family-like unity between himself and his employees. So he responds by impulsively joining a teenage church mission to Mexico.",7.4,2238,7.65,23,2010-11-04,,Alex Hardcastle,Peter Ocko,False,0.25
124,7,Viewing Party,"Michael sabotages Erin's ""Glee"" viewing party because of his contempt for Gabe, Jim and Pam discover that Dwight can keep their daughter from crying, and Andy has a bad reaction to a mixture of wine and a Japanese stimulant.",7.8,2200,7.15,30,2010-11-11,,Ken Whittingham,Jon Vitti,False,0.375
125,7,WUPHF.com,"Some co-workers who invested in Ryan's Internet venture want him to sell, but Michael refuses to go along. Meanwhile, Jim loses his motivation to work when he reaches his commission cap, ...
                    See full summaryÃƒâ€šÃ‚Â Ãƒâ€šÃ‚Â»",7.7,2141,7.28,30,2010-11-18,,See full summary,Aaron Shure,False,0.34375
126,7,China,"Pam stands up to Dwight when he makes cutbacks to save money in the building, but will Dwight have the last laugh? Meanwhile, the office is surprised and energized when Michael outsmarts Oscar in a debate about China.",8.2,2246,7.31,30,2010-12-02,,Charles McDougall,Halsted Sullivan | Warren Lieberstein,False,0.4999999999999996
127,7,Classy Christmas,"Michael throws an elaborate Christmas party to celebrate Holly's temporary return to the Scranton branch, but is disappointed when he learns that she still has a boyfriend.",9.0,2878,7.18,60,2010-12-09,,Rainn Wilson,Mindy Kaling,False,0.75
128,7,Ultimatum,"Michael gets upset when Holly returns from the holidays without an engagement ring, but still together with her boyfriend. Meanwhile, Pam tries to help her co-workers keep with their New Year's resolutions.",8.3,2282,8.26,30,2011-01-20,,David Rogers,Carrie Kemper,False,0.53125
129,7,The Seminar,"Andy tries to host a small business seminar at the office. Michael agrees to help by posing as a Greek entrepreneur, and tries to get Holly to play along.",7.6,2171,7.93,30,2011-01-27,Ricky Gervais,B.J. Novak,Steve Hely,True,0.3125
130,7,The Search,"When Jim gets an emergency phone call from Helene, he is forced to leave Michael in the bathroom of a gas station. Meanwhile, Holly, Erin, and Dwight set out on a journey to find Michael. ...
                    See full summaryÃƒâ€šÃ‚Â Ãƒâ€šÃ‚Â»",8.5,2369,7.29,30,2011-02-03,"Will Arnett,  Ray Romano, Jim Carrey, Ricky Gervais",See full summary,Brent Forrester,True,0.59375
131,7,PDA,"It's Valentine's Day, and the office is fed up with Michael and Holly's PDA, Andy helps Erin solve Gabe's riddles to find her gift, and Jim and Pam get drunk and try to find a place in the office to have sex.",8.4,2347,6.9,22,2011-02-10,,Greg Daniels,Robert Padnick,False,0.5625
132,7,Threat Level Midnight,"Michael finally finishes his movie ""Threat Level Midnight"" and screens it for his employees at Dunder Mifflin, but Holly is less than enthusiastic for his finished product.",9.4,4877,6.41,30,2011-02-17,,Tucker Gates,B. J. Novak,False,0.875
133,7,Todd Packer,"Everyone is up in arms after Michael convinces Holly to give Todd Packer an office job, and Andy gets upset after Pam gets a new computer for reception but not for him.",7.5,2123,6.12,30,2011-02-24,,Randall Einhorn,Amelie Gillette,False,0.28125
134,7,Garage Sale,"Michael plans to propose to Holly the day of the Dunder Mifflin garage sale, but Holly may have to take an extended leave of absence to Colorado because her father is sick.",9.3,3730,7.07,30,2011-03-24,,Steve Carell,Jon Vitti,False,0.84375
135,7,Training Day,"Michael makes fast friends with the man coming in to replace him at Dunder Mifflin, but later begins to have second thoughts after seeing him in action.",7.8,2215,7.87,30,2011-04-14,Will Ferrell,Paul Lieberstein,Daniel Chun,True,0.375
136,7,Michael's Last Dundies,"Michael hosts his final ""Dundies"" as the boss at the Scranton branch, but tension is in the air, and Deangelo Vickers, the new boss, is having trouble with his co-hosting duties.",9.0,3039,6.85,23,2011-04-21,,Mindy Kaling,Mindy Kaling,False,0.75
137,7,"Goodbye, Michael","As the office gets ready for Michael's final day at Dunder Mifflin, Michael doesn't tell anyone that he's leaving a day early. Meanwhile, Deangelo accompanies a nervous Andy on a visit to one of Michael's old clients.",9.8,8059,8.42,50,2011-04-28,,Paul Feig,Greg Daniels,False,1.0
138,7,The Inner Circle,"Tensions rise and feelings are hurt when Deangelo creates an ""inner circle"" at the office--which is only composed of men.",7.6,2183,6.9,23,2011-05-05,,Matt Sohn,Charlie Grandy,False,0.3125
139,7,"Dwight K. Schrute, (Acting) Manager","When Jim rejects Jo's offer, Dwight becomes acting manager at the Scranton branch, but an accident could cause his tenure to be short-lived.",8.7,2414,6.45,23,2011-05-12,,Troy Miller,Justin Spitzer,False,0.6562499999999996
140,7,Search Committee,"The Scranton branch puts together a search committee to find the next boss, but the pool of interviewees proves to be less than impressive, and Dwight demands an interview in spite of his gun accident.",8.8,2623,7.29,42,2011-05-19,,Jeffrey Blitz,Paul Lieberstein,False,0.6875
141,8,The List,"New Dunder Mifflin CEO Robert California leaves a piece of paper with a line down the middle that has names of the Scranton staff on either side of it, leading everyone to try and figure out what it means.",8.1,2366,7.64,23,2011-09-22,,B.J. Novak,B. J. Novak,False,0.46875
142,8,The Incentive,"Under pressure from Robert to increase branch sales, Andy offers an incentive program to the sales staff, which backfires on him when he offers a very personal grand prize.",8.1,2200,6.7,23,2011-09-29,,Charles McDougall,Paul Lieberstein,False,0.46875
143,8,Lotto,"After the entire warehouse staff wins the lottery and quits their job, Darryl becomes depressed and demands to be fired. Meanwhile, the office staff is forced to load the truck for their orders themselves.",7.3,2098,5.82,23,2011-10-06,,John Krasinski,Charlie Grandy,False,0.21875
144,8,Garden Party,"Andy claims to be throwing a garden party at Dwight's farm to impress Robert California, but he's really doing it to win the approval of his parents, who appear to favor his younger brother.",8.1,2266,6.08,23,2011-10-13,"Josh Groban, Stephen Collins",David Rogers,Justin Spitzer,True,0.46875
145,8,Spooked,"Erin is worried that she is about to get fired after she organizes a disastrous office Halloween party for Robert and his son. Meanwhile, Robert probes the minds of the employees to come up with the perfect spooky story.",7.5,2024,5.53,23,2011-10-27,,Randall Einhorn,Carrie Kemper,False,0.28125
146,8,Doomsday,"Dwight installs a ""Doomsday Device"" on the office computers that could get everyone fired if they make too many mistakes, while Gabe tries to hit on one of Darryl's warehouse employees.",7.7,1948,6.15,23,2011-11-03,,Troy Miller,Daniel Chun,False,0.34375
147,8,Pam's Replacement,"A pregnant and insecure Pam tries to prove that Jim is attracted to her temp replacement, and Robert and his musician friends take over a jam session with Andy, Kevin, and Darryl.",7.7,2077,5.96,23,2011-11-10,,Matt Sohn,Allison Silverman,False,0.34375
148,8,Gettysburg,Andy decides to motivate and inspire everyone by taking them on a field trip to Gettysburg. Some people in the office stay behind and Robert California asks them to come up with Dunder Mifflin/Sabre's next big idea.,6.9,2089,5.5,23,2011-11-17,,Jeffrey Blitz,Robert Padnick,False,0.09375000000000044
149,8,Mrs. California,"Robert brings his wife to the office so that she can find a job, but he gives Andy conflicting messages about whether to hire her. Meanwhile, Dwight opens a gym in the building and tries to persuade Darryl to join.",7.7,2050,5.71,23,2011-12-01,Maura Tierney,Charlie Grandy,Dan Greaney,True,0.34375
150,8,Christmas Wishes,"Andy tries to make this year's Christmas the best ever by granting each person's holiday wishes. Meanwhile, Robert California tries to drown his sorrows at the office party.",7.9,2020,5.79,23,2011-12-08,,Ed Helms,Mindy Kaling,False,0.40625
151,8,Trivia,"Andy hopes to make up for a sales deficiency by entering and winning a bar trivia competition, while Dwight flies to corporate headquarters in Florida to demand a management interview with Robert.",7.9,1980,5.9,23,2012-01-12,,B.J. Novak,Steve Hely,False,0.40625
152,8,Pool Party,"Robert throws a party for the Dunder Mifflin staff at his house before he sells it because of his divorce. At the party, Erin and Dwight agree to flirt with each other to make Andy jealous, and Jim tries in vain to duck out early.",8.0,2139,6.02,23,2012-01-19,,Charles McDougall,Owen Ellickson,False,0.4375
153,8,Jury Duty,"Jim gets caught in a lie about his week of ""jury duty,"" and new questions emerge when Angela gives birth to a ""premature"" baby.",7.4,1937,5.31,23,2012-02-02,,Eric Appel,Aaron Shure,False,0.25
154,8,Special Project,"Andy puts Dwight in charge of a special project in Tallahassee, but Dwight doesn't like the team Andy's assembled for him. Meanwhile, Darryl tries to figure out the meaning of Val's Valentine's gift.",7.7,1891,5.19,23,2012-02-09,,David Rogers,Amelie Gillette,False,0.34375
155,8,Tallahassee,"Dwight refuses to let appendicitis get in the way of leading his new team in Tallahassee, while Andy decides to step in for Erin as secretary in the office.",7.8,1994,4.38,23,2012-02-16,,Matt Sohn,Daniel Chun,False,0.375
156,8,After Hours,"In Tallahassee, Dwight and Todd Packer try to romance Nellie to get the VP position, while Jim wonders if a colleague is trying to hit on him. Back in Scranton, Val's boyfriend shows up with a message for Darryl.",8.1,2068,5.02,23,2012-02-23,,Brian Baumgartner,Halsted Sullivan | Warren Lieberstein,False,0.46875
157,8,Test the Store,"Dwight and his team get ready for the grand opening of the Sabre Store, while Andy makes Toby teach self-defense to the Scranton branch employees after he is beat up in the parking lot by a girl.",7.8,1958,4.95,23,2012-03-01,,Brent Forrester,Mindy Kaling,False,0.375
158,8,Last Day in Florida,"Jim tries to warn Dwight that he's going to be fired after Robert rejects the Sabre Store idea, but he refuses to listen. Meanwhile, Darryl and Toby try to sell cookies to Kevin, and Erin tells Andy she's not coming back from Florida.",7.8,1903,4.89,23,2012-03-08,,Matt Sohn,Robert Padnick,False,0.375
159,8,Get the Girl,"Andy goes to Tallahassee to tell Erin that he loves her and needs her to return to Scranton. Meanwhile, Nellie shows up in Scranton and tries to claim Andy's manager position by offering everyone raises.",6.6,2203,4.87,23,2012-03-15,,Rainn Wilson,Charlie Grandy,False,0.0
160,8,Welcome Party,"Andy tries to break up with his girlfriend after going to Florida to declare his love for Erin, and the office employees are forced against their will to throw a party for the hated Nellie.",7.1,1972,4.39,23,2012-04-12,,Ed Helms,Steve Hely,False,0.15625
161,8,Angry Andy,"Andy and Erin return to Dunder Mifflin, only to discover that Nellie has taken his job and office and refuses to give them up. Meanwhile, Ryan becomes jealous after Pam tries to play matchmaker for Kelly.",7.0,2107,4.35,23,2012-04-19,,Claire Scanlon,Justin Spitzer,False,0.125
162,8,Fundraiser,Andy confronts Robert for the first time after losing the manager position and quitting his job at a fund raiser sponsored by Angela's husband.,7.0,1902,4.17,23,2012-04-26,,David Rogers,Owen Ellickson,False,0.125
163,8,Turf War,"Dwight and Jim fight with the Syracuse over a client after Robert shuts down the Binghamton branch, and Andy sees an opportunity for revenge. Meanwhile Robert tries to figure out the contents of a drunken voicemail to Nellie.",7.6,1832,4.44,23,2012-05-03,Chris Bauer,Daniel Chun,Warren Lieberstein | Halsted Sullivan,True,0.3125
164,8,Free Family Portrait Studio,"With former CEO David Wallace's help, Andy launches a plan to get revenge on the Scranton branch. Meanwhile, Dwight launches his own plan to find out if he's the father of Angela's baby.",7.7,1918,4.49,23,2012-05-10,,B.J. Novak,B. J. Novak,False,0.34375
165,9,New Guys,"Dwight and Jim are intimidated by the office's newest additions, who are considered younger versions of themselves. Meanwhile, Andy tries to make Nellie's life miserable, and Angela tries to get rid of one of her cats.",7.6,2074,4.28,23,2012-09-20,,Greg Daniels,Greg Daniels,False,0.3125
166,9,Roy's Wedding,"After Roy's wedding, Jim and Pam wonder if they still have any secrets they're hiding from each other. Meanwhile, Clark tricks Erin into a ""news audition,"" and Dwight challenges Nellie's new charity initiative.",7.1,1963,4.13,23,2012-09-27,,Matt Sohn,Allison Silverman,False,0.15625
167,9,Andy's Ancestry,"Nellie plays a trick on Andy after researching his ancestry, Dwight teaches Erin a new language, and Pam tries to teach Nellie how to drive.",7.4,1938,4.14,23,2012-10-04,,David Rogers,Jonathan Green | Gabe Miller,False,0.25
168,9,Work Bus,"When Jim convinces Dwight that the building is unsafe, Dwight rents a bus and sets up the office inside. Nellie asks for Andy's help in adopting a baby. Meanwhile, Jim tries to make Pam happy with some pie.",7.8,2059,4.28,22,2012-10-18,,Bryan Cranston,Brent Forrester,False,0.375
169,9,Here Comes Treble,"On Halloween, the Cornell a Capella group pays a visit to Andy, Dwight discovers that Nellie takes anxiety pills, and Pam disapproves of Jim's business decision.",7.0,2021,4.0,22,2012-10-25,Stephen Colbert,Claire Scanlon,Owen Ellickson,True,0.125
170,9,The Boat,"Andy has one last chance to captain the family boat before he sells it, Jim, Pam, and Nellie prank Dwight with a radio interview, and Kevin finds out about Oscar's affair with Angela's husband.",7.7,1955,4.83,22,2012-11-08,Josh Groban,John Krasinski,Dan Sterling,True,0.34375
171,9,The Whale,"The office trains Dwight to sell to a female client without being offensive, only to discover that the client is Jan Levinson. Angela and Oscar both think the senator is cheating on them, ...
                    See full summaryÃƒâ€šÃ‚Â Ãƒâ€šÃ‚Â»",7.6,1872,4.16,22,2012-11-15,,See full summary,Carrie Kemper,False,0.3125
172,9,The Target,"Angela orders a hit on Oscar for cheating with her husband, the office makes a tower with their customer complaint cards, Jim wines and dines Stanley and Phyllis in exchange for a favor, and Pam begins her mural.",7.8,1928,3.88,22,2012-11-29,,Brent Forrester,Graham Wagner,False,0.375
173,9,Dwight Christmas,"Dwight puts together a Pennsylvania Dutch-themed office Christmas party, but he ends it abruptly because Jim has to leave for his other job. Meanwhile, Erin seeks comfort from a co-worker after a disappointing text from Andy.",8.4,2204,4.16,22,2012-12-06,,Charles McDougall,Robert Padnick,False,0.5625
174,9,Lice,"Pam causes a lice outbreak but lets Meredith take the blame, Jim has a business meeting with Dr. J, and some coworkers try to get Darryl and Val back together.",7.6,1952,4.54,22,2013-01-10,Julius Winfield Erving,Rodman Flender,Niki Schwartz-Wright,True,0.3125
175,9,Suit Warehouse,"Dwight and Clark pose as father and son to get an account, Darryl goes for an interview with Jim's new business, and everybody in the office goes crazy over a new espresso machine.",7.8,1920,4.15,22,2013-01-17,,Matt Sohn,Dan Greaney,False,0.375
176,9,Customer Loyalty,"Dwight tries to keep Daryl from leaving Dunder Mifflin, Jim misses his daughter's recital because of an important business meeting, and Nellie is worried that Erin will dump Andy for Pete.",7.9,1984,4.19,22,2013-01-24,,Kelly Cantley-Kashima,Jonathan Green | Gabe Miller,False,0.40625
177,9,Junior Salesman,Dwight gets to hire a new salesman to replace Jim when he is at his other job. But will he promote Clark or go with one of his unqualified friends instead?,7.6,1866,4.45,22,2013-01-31,,David Rogers,Carrie Kemper,False,0.3125
178,9,Vandalism,"Pam tries to find out who vandalized her mural, Darryl finds out that Jim is a slob, and Oscar and Kevin go to Angela and The Senator's child's first birthday party.",7.5,1866,3.97,22,2013-01-31,,Lee Kirk,Owen Ellickson,False,0.28125
179,9,Couples Discount,"Andy returns after three months to an angry office and an even angrier girlfriend, and Jim's Valentines Day with Pam does not go as planned.",7.3,1888,4.15,22,2013-02-07,,Troy Miller,Allison Silverman,False,0.21875
180,9,Moving On,"Andy finds out that Erin dumped him for Pete, Dwight gets Angela's help taking care of his aunt, and Pam interviews with a real estate firm whose boss is a carbon-copy of Michael Scott.",8.1,2089,4.06,42,2013-02-14,,Jon Favreau,Graham Wagner,False,0.46875
181,9,The Farm,Show follows Dwight Schrute a beet farmer running a bed and breakfast inn.,7.5,2189,3.54,22,2013-03-14,,Paul Lieberstein,Paul Lieberstein,False,0.28125
182,9,Promos,"The release of the documentary promos creates tension for the Dunder Mifflin employees, Dwight considers a business venture with his girlfriend's family, and Jim and Darryl have an awkward business meeting with baseball player Ryan Howard.",8.0,1924,3.44,22,2013-04-04,Ryan Howard,Jennifer Celotta,Tim McAuliffe,True,0.4375
183,9,Stairmageddon,"Dwight shoots Stanley with a bull tranquilizer after he refuses to go on a sales call, Jim and Pam head to marriage counseling, The Senator comes out of the closet, and Andy tries to find a talent agent.",8.0,1985,3.83,22,2013-04-11,,Matt Sohn,Dan Sterling,False,0.4375
184,9,Paper Airplane,"The employees hold a paper airplane competition, Andy gets an acting role in a workplace safety video, and Jim and Pam's marriage tensions continue to build.",8.0,2007,3.25,22,2013-04-25,,Jesse Peretz,Halsted Sullivan | Warren Lieberstein,False,0.4375
185,9,Livin' the Dream,"Dwight becomes regional manager after Andy quits his job, Jim dedicates more time to his Dunder Mifflin job to save his marriage, and Angela has problems with her new living arrangements after her breakup with The Senator.",9.0,2831,3.51,42,2013-05-02,Michael Imperioli ,Jeffrey Blitz,Niki Schwartz-Wright,True,0.75
186,9,A.A.R.M.,"Dwight prepares for a marriage proposal and hires an assistant for his assistant, Andy auditions for a singing program, Darryl tries to leave his job without a fuss, and Pam has second thoughts about Jim staying in Scranton.",9.5,3914,4.56,43,2013-05-09,,David Rogers,Brent Forrester,False,0.90625
187,9,Finale,"One year later, Dunder Mifflin employees past and present reunite for a panel discussion about the documentary and to attend Dwight and Angela's wedding.",9.8,10515,5.69,51,2013-05-16,"Joan Cusack, Ed Begley Jr, Rachel Harris, Nancy Walls",Ken Kwapis,Greg Daniels,True,1.0
