product_id,listing_price,sale_price,discount,revenue
AH2430,,,,
G27341,75.99,37.99,0.5,1641.17
CM0081,9.99,5.99,0.4,398.93
B44832,69.99,34.99,0.5,2204.37
D98205,79.99,39.99,0.5,5182.7
B75586,47.99,19.2,0.6,1555.2
CG4051,47.99,23.99,0.5,86.36
CM0080,9.99,5.99,0.4,75.47
B75990,55.99,27.99,0.5,806.11
EE5761,65.99,39.59,0.4,2779.22
EE4553,75.99,45.59,0.4,2954.23
EF9315,65.99,39.59,0.4,2494.17
F35281,59.99,29.99,0.5,5236.25
EF9220,75.99,45.59,0.4,5087.84
EG0000,79.99,39.99,0.5,1151.71
B44889,59.99,29.99,0.5,3724.76
CL7417,45.99,22.99,0.5,662.11
CL7408,39.99,19.99,0.5,287.86
B43601,32.99,16.49,0.5,1840.28
EE8245,42.99,21.49,0.5,2591.69
EE8042,55.99,27.99,0.5,1511.46
CL7429,42.99,21.49,0.5,1663.33
CL7370,37.99,22.79,0.4,533.29
EE9946,65.99,32.99,0.5,4809.94
CK9741,37.99,18.99,0.5,2392.74
CL7363,32.99,19.79,0.4,1638.61
CL7372,37.99,22.79,0.4,2584.39
CL7430,42.99,21.49,0.5,3674.79
F34485,55.99,33.59,0.4,906.93
CL7365,32.99,19.79,0.4,1211.15
CL7373,32.99,19.79,0.4,3063.49
CL7364,32.99,19.79,0.4,106.87
CL7374,32.99,19.79,0.4,2386.67
EE8167,55.99,33.59,0.4,302.31
CL7410,39.99,23.99,0.4,3670.47
CL7401,55.99,33.59,0.4,241.85
EE8219,45.99,27.59,0.4,1738.17
CL7402,55.99,33.59,0.4,786.01
EE9929,85.99,51.59,0.4,1857.24
EE8221,65.99,39.59,0.4,2921.74
EE8224,65.99,39.59,0.4,5130.86
EE9941,65.99,39.59,0.4,2280.38
EE8522,75.99,45.59,0.4,6893.21
EE9932,55.99,33.59,0.4,4534.65
EE8375,69.99,41.99,0.4,302.33
EE9798,55.99,33.59,0.4,2902.18
EE8502,49.99,29.99,0.4,647.78
EF0450,49.99,29.99,0.4,4480.51
CL7375,32.99,19.79,0.4,391.84
EF0446,49.99,29.99,0.4,2267.24
EF0529,69.99,41.99,0.4,5215.16
EE9940,65.99,39.59,0.4,2351.65
EE4954,119.99,71.99,0.4,4535.37
G27996,,,,
CL4156,26.99,13.49,0.5,2161.1
EE4893,79.99,47.99,0.4,4059.95
EE9937,55.99,33.59,0.4,5683.43
G27649,79.99,47.99,0.4,3023.37
EE9797,55.99,33.59,0.4,2358.02
CI9914,49.99,20.0,0.6,3528.0
EE8252,42.99,21.49,0.5,232.09
CK9664,59.99,29.99,0.5,917.69
EE8501,49.99,29.99,0.4,4156.61
CL7602,47.99,23.99,0.5,734.09
CL7494,45.99,22.99,0.5,1158.7
EE7923,59.99,35.99,0.4,5700.82
EE5566,79.99,47.99,0.4,1986.79
CI1821,47.99,23.99,0.5,345.46
CJ0082,45.99,22.99,0.5,2648.45
CJ8062,59.99,29.99,0.5,2807.06
EE6038,75.99,45.59,0.4,5744.34
CM0068,12.99,7.79,0.4,827.3
CK9830,27.99,13.99,0.5,352.55
CJ0080,45.99,22.99,0.5,82.76
EG4957,79.99,79.99,0.0,5471.32
BD7438,79.99,39.99,0.5,6118.47
B75579,49.99,24.99,0.5,269.89
CM0057,12.99,7.79,0.4,645.01
CL0206,14.99,7.49,0.5,121.34
CJ8058,59.99,29.99,0.5,4696.43
BZ0086,79.99,39.99,0.5,2015.5
CJ8117,45.99,22.99,0.5,3600.23
CJ8073,55.99,27.99,0.5,3325.21
CL7551,47.99,23.99,0.5,2331.83
AC8122,79.99,39.99,0.5,4750.81
CM8453,199.99,99.99,0.5,179.98
EE3625,159.99,79.99,0.5,13534.31
CM0031,45.99,22.99,0.5,2027.72
EE7697,49.99,24.99,0.5,269.89
F36159,52.99,26.49,0.5,4720.52
F35028,19.99,9.99,0.5,1204.79
AC7042,99.99,49.99,0.5,4409.12
CJ8053,59.99,29.99,0.5,2267.24
BC0836,89.99,44.99,0.5,7288.38
F35275,65.99,32.99,0.5,5225.62
CJ8115,45.99,22.99,0.5,1820.81
CJ8089,49.99,24.99,0.5,3328.67
EE6128,59.99,35.99,0.4,1230.86
CJ8118,45.99,22.99,0.5,2234.63
CL7328,47.99,23.99,0.5,3411.38
CL7470,55.99,27.99,0.5,251.91
CL7541,49.99,24.99,0.5,4318.27
CL9928,35.99,21.59,0.4,1593.34
CM0045,15.99,9.59,0.4,138.1
CL7599,47.99,23.99,0.5,3454.56
CM0069,12.99,7.79,0.4,308.48
CL7511,,,,
CL7552,47.99,23.99,0.5,2936.38
EE9816,65.99,32.99,0.5,178.15
CL7545,55.99,27.99,0.5,2317.57
EE5060,89.99,53.99,0.4,4859.1
F36718,55.99,33.59,0.4,4534.65
CL9927,35.99,21.59,0.4,2759.2
CL7285,42.99,21.49,0.5,1856.74
CL7471,55.99,27.99,0.5,1813.75
B96360,79.99,39.99,0.5,503.87
EE5778,89.99,53.99,0.4,6705.56
EE4519,79.99,47.99,0.4,6133.12
EE4504,79.99,47.99,0.4,5614.83
EE4697,65.99,39.59,0.4,213.79
CM0044,15.99,9.59,0.4,1277.39
EE6045,79.99,47.99,0.4,172.76
CG6091,99.99,49.99,0.5,7558.49
G27834,139.99,69.99,0.5,4283.39
CL7598,47.99,23.99,0.5,2331.83
EE4709,75.99,45.59,0.4,4021.04
EE4948,119.99,71.99,0.4,4535.37
EE9671,69.99,41.99,0.4,3627.94
EE7046,79.99,47.99,0.4,2159.55
EF0451,49.99,34.99,0.3,3212.08
EE4561,75.99,45.59,0.4,984.74
CL7601,47.99,23.99,0.5,2202.28
CL7330,47.99,23.99,0.5,1338.64
CM6625,24.99,17.49,0.3,1290.76
FV3395,75.99,53.19,0.3,478.71
EF9317,65.99,39.59,0.4,5558.44
EF4954,79.99,55.99,0.3,9675.07
EE7104,75.99,45.59,0.4,2133.61
FV4070,79.99,55.99,0.3,5341.45
FV3918,89.99,62.99,0.3,8843.8
EE5055,49.99,29.99,0.4,4858.38
CM6626,24.99,17.49,0.3,3022.27
CQ2030,159.99,79.99,0.5,11806.52
EE5292,75.99,45.59,0.4,5662.28
BD8041,75.99,37.99,0.5,1436.02
B37719,75.99,45.59,0.4,7221.46
EE4505,79.99,47.99,0.4,2764.22
CM0072,9.99,4.99,0.5,179.64
EF0795,65.99,39.59,0.4,3135.53
EE5875,65.99,39.59,0.4,4917.08
EE4947,119.99,71.99,0.4,8552.41
CM6627,24.99,17.49,0.3,2046.33
CQ2039,169.99,84.99,0.5,8566.99
CG6193,75.99,53.19,0.3,1436.13
S82260,119.99,48.0,0.6,4406.4
EE4945,119.99,71.99,0.4,10884.89
EE7155,79.99,47.99,0.4,4923.77
B44846,59.99,29.99,0.5,2321.23
EE6044,79.99,47.99,0.4,7169.71
EH0192,,,,
EE7045,79.99,47.99,0.4,5355.68
CL7646,26.99,21.59,0.2,1904.24
CL7346,29.99,23.99,0.2,1597.73
EE5777,89.99,53.99,0.4,3692.92
AQ1210,99.99,49.99,0.5,7918.42
EF5925,79.99,55.99,0.3,9876.64
EE7032,119.99,71.99,0.4,12051.13
EE7708,79.99,47.99,0.4,1554.88
AQ1119,129.99,64.99,0.5,2690.59
F34311,79.99,39.99,0.5,4246.94
CL7645,26.99,21.59,0.2,3497.58
EE5089,89.99,53.99,0.4,3595.73
CL7565,49.99,24.99,0.5,2114.15
G27727,79.99,39.99,0.5,3311.17
B44697,79.99,39.99,0.5,6118.47
CL7400,55.99,27.99,0.5,3425.98
CL7437,52.99,26.49,0.5,3528.47
CL7563,49.99,24.99,0.5,44.98
CL7460,59.99,29.99,0.5,2591.14
CL7507,49.99,24.99,0.5,0.0
CM0061,12.99,7.79,0.4,196.31
F34308,79.99,39.99,0.5,4966.76
CL7506,49.99,24.99,0.5,3733.51
CL7344,29.99,23.99,0.2,3713.65
EE5318,109.99,65.99,0.4,10690.38
CL7564,49.99,24.99,0.5,2608.96
CL7439,52.99,26.49,0.5,3480.79
CL7345,29.99,23.99,0.2,475.0
CL7644,26.99,21.59,0.2,1243.58
CL7438,52.99,26.49,0.5,3719.2
CK9843,27.99,16.79,0.4,1420.43
EE8738,89.99,53.99,0.4,7871.74
CL7576,55.99,27.99,0.5,755.73
CL7482,45.99,22.99,0.5,4055.44
EE6129,59.99,35.99,0.4,64.78
EG3290,39.99,39.99,0.0,3671.08
CL7467,55.99,27.99,0.5,2871.77
EF1426,99.99,49.99,0.5,4499.1
CL7264,49.99,29.99,0.4,4318.56
CL7472,55.99,27.99,0.5,3778.65
CL7560,45.99,22.99,0.5,3724.38
EE4574,75.99,45.59,0.4,5580.22
CL7445,42.99,21.49,0.5,580.23
CL7404,39.99,19.99,0.5,2302.85
CL7515,52.99,26.49,0.5,3766.88
EE4763,79.99,47.99,0.4,6046.74
CL7616,39.99,23.99,0.4,2936.38
CL7591,42.99,21.49,0.5,889.69
CK9831,27.99,13.99,0.5,1762.74
EF2508,65.99,39.59,0.4,2993.0
CL7495,45.99,22.99,0.5,3186.41
EE5592,109.99,65.99,0.4,6176.66
EE5398,,,,
EE5304,129.99,77.99,0.4,4071.08
EE7242,79.99,47.99,0.4,8033.53
CM0064,14.99,7.49,0.5,323.57
EE7885,65.99,39.59,0.4,71.26
CM0049,14.99,8.99,0.4,1343.11
CL7548,47.99,23.99,0.5,2936.38
CK1088,55.99,27.99,0.5,3677.89
CL7263,49.99,24.99,0.5,2249.1
CL7483,45.99,22.99,0.5,2524.3
F34340,65.99,32.99,0.5,2078.37
CL7590,42.99,21.49,0.5,3790.84
CM0030,45.99,22.99,0.5,2027.72
CL7468,55.99,27.99,0.5,2519.1
EE8076,55.99,33.59,0.4,3144.02
CM5955,29.99,29.99,0.0,4912.36
B44870,29.99,29.99,0.0,2753.08
CL7265,49.99,24.99,0.5,3643.54
CL7484,45.99,22.99,0.5,1986.34
CL7537,59.99,35.99,0.4,6348.64
EE8088,45.99,27.59,0.4,446.96
CL7577,55.99,27.99,0.5,1763.37
CM0058,12.99,7.79,0.4,1093.72
EE7698,49.99,29.99,0.4,4858.38
CM0009,59.99,29.99,0.5,809.73
EE7884,69.99,41.99,0.4,151.16
F36922,79.99,39.99,0.5,5614.6
DB3114,75.99,37.99,0.5,3213.95
F36217,49.99,24.99,0.5,1079.57
EE8272,49.99,29.99,0.4,1889.37
CL7538,49.99,24.99,0.5,3283.69
EF0695,79.99,47.99,0.4,3714.43
DB3599,99.99,49.99,0.5,3149.37
CL7321,35.99,21.59,0.4,2059.69
DB2117,79.99,39.99,0.5,5974.51
EE4698,65.99,39.59,0.4,3206.79
B28166,79.99,39.99,0.5,4750.81
DB3259,75.99,37.99,0.5,5128.65
EE5534,79.99,47.99,0.4,8119.91
EF0811,79.99,39.99,0.5,431.89
CK9723,37.99,18.99,0.5,2221.83
CL7322,35.99,21.59,0.4,1399.03
CG6021,119.99,59.99,0.5,2699.55
CG6188,139.99,69.99,0.5,1007.86
BD7685,79.99,39.99,0.5,5398.65
BD7475,75.99,37.99,0.5,6427.91
EF9226,75.99,45.59,0.4,4677.53
F34668,65.99,32.99,0.5,4572.41
EE8257,37.99,22.79,0.4,1066.57
B37973,119.99,59.99,0.5,3995.33
EE7068,75.99,45.59,0.4,1969.49
EH1363,59.99,59.99,0.0,647.89
EE5772,89.99,53.99,0.4,8163.29
CG6104,,,,
EF2437,179.99,89.99,0.5,4049.55
CM0070,12.99,7.79,0.4,1388.18
D96760,119.99,59.99,0.5,971.84
CM0077,12.99,7.79,0.4,490.77
CM0091,14.99,7.49,0.5,337.05
CL7550,47.99,23.99,0.5,561.37
F36675,39.99,23.99,0.4,1943.19
EF1065,65.99,39.59,0.4,2422.91
EH1361,59.99,59.99,0.0,1403.77
CL0243,12.99,6.49,0.5,700.92
CG6177,139.99,69.99,0.5,11464.36
FV3288,79.99,79.99,0.0,4751.41
EE4949,119.99,71.99,0.4,5053.7
BB2344,99.99,40.0,0.6,2448.0
EE6080,59.99,29.99,0.5,3616.79
EE6047,79.99,47.99,0.4,7169.71
EF0078,75.99,45.59,0.4,4021.04
EE5565,79.99,47.99,0.4,5528.45
EF4965,79.99,79.99,0.0,2591.68
EE4946,119.99,71.99,0.4,9589.07
B37090,99.99,49.99,0.5,7288.54
F36516,42.99,25.79,0.4,1392.66
DB3112,59.99,29.99,0.5,3454.85
EH1366,59.99,59.99,0.0,7774.7
CG6164,79.99,39.99,0.5,6262.43
EE4959,119.99,71.99,0.4,5572.03
EF2438,179.99,107.99,0.4,2915.73
F35567,69.99,34.99,0.5,5101.54
EE8165,55.99,33.59,0.4,3264.95
EE5846,65.99,39.59,0.4,1068.93
F34846,55.99,27.99,0.5,856.49
B41663,79.99,39.99,0.5,2159.46
CK9690,42.99,21.49,0.5,2823.79
EE7927,65.99,32.99,0.5,1603.31
CK9688,49.99,24.99,0.5,1934.23
CK9424,52.99,26.49,0.5,2336.42
CK9430,55.99,27.99,0.5,4030.56
CG6228,119.99,59.99,0.5,7018.83
DB3600,99.99,49.99,0.5,7828.43
EE9892,89.99,44.99,0.5,3482.23
CL7461,45.99,22.99,0.5,2400.16
CK9678,49.99,24.99,0.5,0.0
CK9696,45.99,22.99,0.5,3889.91
CK9695,45.99,22.99,0.5,2151.86
CK9683,49.99,24.99,0.5,1754.3
CK9692,49.99,24.99,0.5,944.62
EE7919,59.99,29.99,0.5,4696.43
CL7517,52.99,26.49,0.5,2002.64
CK9698,45.99,22.99,0.5,331.06
CK9418,55.99,27.99,0.5,3728.27
EF0322,129.99,77.99,0.4,3228.79
CK9427,52.99,26.49,0.5,2813.24
EF0437,,,,
EF0435,55.99,27.99,0.5,4987.82
CJ8090,49.99,24.99,0.5,1259.5
CL7542,49.99,24.99,0.5,4363.25
CL7311,35.99,17.99,0.5,712.4
EE8028,59.99,29.99,0.5,809.73
CL7398,55.99,27.99,0.5,1410.7
CL7306,39.99,19.99,0.5,2518.74
CK9697,45.99,22.99,0.5,1779.43
CI9915,49.99,24.99,0.5,2923.83
CK9590,52.99,26.49,0.5,2431.78
CL7458,59.99,29.99,0.5,4804.4
CI9913,49.99,24.99,0.5,4318.27
CL7459,59.99,29.99,0.5,3994.67
CI9991,49.99,24.99,0.5,2608.96
F36996,55.99,27.99,0.5,100.76
CJ7974,52.99,26.49,0.5,2527.15
CL7588,42.99,21.49,0.5,309.46
CL7407,39.99,19.99,0.5,3274.36
CL7406,39.99,19.99,0.5,3058.47
CK9420,55.99,27.99,0.5,100.76
CL7389,55.99,27.99,0.5,2015.28
CL7516,52.99,26.49,0.5,1335.1
CI9989,49.99,24.99,0.5,809.68
CL7405,39.99,19.99,0.5,1763.12
CL7473,55.99,27.99,0.5,151.15
CJ8110,45.99,22.99,0.5,289.67
CJ8019,45.99,22.99,0.5,2193.25
CK9604,45.99,22.99,0.5,1075.93
CK9431,55.99,27.99,0.5,2468.72
EE7289,59.99,35.99,0.4,3757.36
B75580,49.99,24.99,0.5,3553.58
CK9432,55.99,27.99,0.5,856.49
EE4925,119.99,71.99,0.4,12051.13
EE4953,119.99,71.99,0.4,4146.62
CL7469,55.99,27.99,0.5,4887.05
EF8858,79.99,47.99,0.4,2505.08
EF9219,75.99,45.59,0.4,7303.52
CL7513,52.99,26.49,0.5,2956.28
EE7098,89.99,53.99,0.4,2138.0
CL7425,45.99,22.99,0.5,3517.47
CL7508,49.99,24.99,0.5,2114.15
EE7292,55.99,33.59,0.4,2297.56
CL7589,42.99,21.49,0.5,1547.28
CJ8061,59.99,29.99,0.5,4966.34
EE5847,65.99,39.59,0.4,1425.24
CK9686,49.99,24.99,0.5,1934.23
EE4567,75.99,45.59,0.4,6975.27
EE5585,79.99,47.99,0.4,3196.13
B96519,69.99,34.99,0.5,1952.44
B96563,65.99,26.4,0.6,760.32
CL7547,55.99,27.99,0.5,2116.04
EE4563,75.99,45.59,0.4,6729.08
CK9714,,,,
F36475,52.99,26.49,0.5,4005.29
FV8794,55.99,55.99,0.0,4434.41
EE5177,129.99,77.99,0.4,10669.03
CL7582,45.99,22.99,0.5,496.58
F36339,49.99,49.99,0.0,3509.3
EF1963,79.99,47.99,0.4,1036.58
F34442,45.99,22.99,0.5,1075.93
EE9933,55.99,55.99,0.0,8969.6
EE6090,59.99,35.99,0.4,1036.51
B75583,47.99,23.99,0.5,3281.83
EE7922,59.99,29.99,0.5,5020.33
EE5081,49.99,24.99,0.5,2294.08
EE4678,79.99,47.99,0.4,2936.99
CM0076,12.99,7.79,0.4,546.86
B28156,79.99,47.99,0.4,4664.63
EF0527,49.99,49.99,0.0,7288.54
EE4566,75.99,45.59,0.4,4923.72
EE8302,49.99,49.99,0.0,1709.66
CM0075,9.99,5.99,0.4,614.57
EF0152,55.99,55.99,0.0,1612.51
CM0093,14.99,8.99,0.4,32.36
F36218,49.99,49.99,0.0,3509.3
CM0083,9.99,5.99,0.4,625.36
CM0078,12.99,7.79,0.4,532.84
CM0079,12.99,7.79,0.4,897.41
CM0074,9.99,5.99,0.4,237.2
CM0073,9.99,5.99,0.4,1002.73
CM0092,14.99,8.99,0.4,873.83
EG8672,55.99,55.99,0.0,2721.11
EG8480,45.99,45.99,0.0,6622.56
EG3148,45.99,45.99,0.0,745.04
CM0082,9.99,5.99,0.4,312.68
EG3185,49.99,49.99,0.0,2789.44
EG4006,55.99,55.99,0.0,100.78
EG4007,55.99,55.99,0.0,9473.51
EH1178,49.99,49.99,0.0,5848.83
EG4316,65.99,65.99,0.0,712.69
EG3253,49.99,49.99,0.0,6028.79
EG4314,65.99,65.99,0.0,4276.15
EH1379,55.99,55.99,0.0,4535.19
EH2586,55.99,55.99,0.0,403.13
EG3698,49.99,49.99,0.0,989.8
EH0165,49.99,49.99,0.0,3149.37
EH1211,55.99,55.99,0.0,8566.47
CK9665,59.99,29.99,0.5,3886.7
CK9663,59.99,29.99,0.5,3994.67
EG3953,65.99,65.99,0.0,9146.21
EG4176,49.99,49.99,0.0,1259.75
CI9916,49.99,24.99,0.5,3778.49
EG4175,49.99,49.99,0.0,8458.31
EG4004,55.99,55.99,0.0,1713.29
CJ8068,55.99,27.99,0.5,3022.92
CK9681,,,,
EE9731,55.99,27.99,0.5,4987.82
CK9591,52.99,26.49,0.5,1668.87
CK9648,45.99,22.99,0.5,1489.75
CK9602,45.99,22.99,0.5,1531.13
F34491,59.99,29.99,0.5,3184.94
CK9693,49.99,24.99,0.5,3958.42
CJ8013,49.99,24.99,0.5,3463.61
CL7567,49.99,24.99,0.5,1394.44
CK9694,49.99,24.99,0.5,2833.87
CL7604,42.99,21.49,0.5,1315.19
CL7488,39.99,19.99,0.5,2626.69
CK9436,42.99,21.49,0.5,1585.96
CK9592,52.99,26.49,0.5,95.36
CL7366,37.99,22.79,0.4,3445.85
CK9661,55.99,27.99,0.5,3526.74
CK9650,45.99,22.99,0.5,1944.95
CL7415,45.99,27.59,0.4,4668.23
CL7626,45.99,27.59,0.4,2383.78
CJ7990,55.99,27.99,0.5,1511.46
CL7534,59.99,35.99,0.4,6348.64
CL7413,45.99,27.59,0.4,198.65
CK9500,45.99,22.99,0.5,1282.84
CL7369,37.99,22.79,0.4,3240.74
EE8156,59.99,35.99,0.4,6219.07
CL7607,42.99,21.49,0.5,812.32
CL7385,55.99,33.59,0.4,967.39
EE9856,69.99,41.99,0.4,6122.14
EE8260,55.99,33.59,0.4,2176.63
EE8448,55.99,33.59,0.4,5743.89
EE8181,69.99,41.99,0.4,2116.3
CK9682,49.99,24.99,0.5,989.6
CL7377,49.99,29.99,0.4,4426.52
CL7605,42.99,21.49,0.5,270.77
EE9734,55.99,33.59,0.4,1934.78
EF1053,69.99,41.99,0.4,5290.74
EE7925,65.99,39.59,0.4,1567.76
CL7614,39.99,23.99,0.4,1986.37
EE9847,69.99,41.99,0.4,1587.22
EG3289,39.99,39.99,0.0,2447.39
CL7615,39.99,23.99,0.4,3713.65
CL7276,49.99,24.99,0.5,44.98
CL7453,52.99,31.79,0.4,1144.44
CL7329,47.99,28.79,0.4,51.82
CL7387,55.99,33.59,0.4,1511.55
CM4762,45.99,45.99,0.0,3062.93
CM4984,24.99,24.99,0.0,4273.29
CM4691,37.99,37.99,0.0,3624.25
CM4826,29.99,29.99,0.0,2645.12
CM0015,49.99,24.99,0.5,3553.58
EE8603,79.99,47.99,0.4,7774.38
CL7496,45.99,27.59,0.4,4171.61
EE8444,55.99,33.59,0.4,1148.78
CM4827,,,,
CM0014,49.99,24.99,0.5,0.0
CM4737,35.99,35.99,0.0,259.13
EF0440,55.99,33.59,0.4,3809.11
EE9748,59.99,35.99,0.4,2785.63
EG4223,49.99,49.99,0.0,1889.62
CM0013,49.99,24.99,0.5,1574.37
B44880,69.99,41.99,0.4,1738.39
F34876,69.99,41.99,0.4,3023.28
EE8836,79.99,79.99,0.0,2015.75
EF0523,55.99,33.59,0.4,5743.89
EH1858,49.99,49.99,0.0,1799.64
EG3821,55.99,55.99,0.0,2116.42
EF4458,75.99,75.99,0.0,12036.82
EG3291,39.99,39.99,0.0,5902.52
EF5928,75.99,75.99,0.0,13541.42
EH1859,49.99,49.99,0.0,4769.05
CM4828,29.99,29.99,0.0,809.73
EG3295,39.99,39.99,0.0,2519.37
CM4985,24.99,24.99,0.0,2563.97
CM4964,32.99,32.99,0.0,475.06
CM4690,37.99,37.99,0.0,1777.93
EF4970,79.99,79.99,0.0,3455.57
CM0010,59.99,29.99,0.5,4048.65
EF6877,79.99,79.99,0.0,2447.69
FW6635,109.99,109.99,0.0,6731.39
CM4760,45.99,45.99,0.0,5132.48
DB3258,75.99,75.99,0.0,5197.72
EF4375,119.99,119.99,0.0,3671.69
EE7159,75.99,75.99,0.0,4513.81
CM4983,24.99,24.99,0.0,3598.56
EE8925,79.99,79.99,0.0,6479.19
G27722,79.99,79.99,0.0,10366.7
EG2012,89.99,89.99,0.0,2105.77
EG9825,65.99,65.99,0.0,5701.54
EF4966,79.99,79.99,0.0,10222.72
EH1389,79.99,79.99,0.0,6623.17
EG9824,65.99,65.99,0.0,10215.25
EF6058,65.99,65.99,0.0,10571.6
EF6508,79.99,79.99,0.0,4895.39
EG5475,79.99,79.99,0.0,13390.33
EF5320,89.99,89.99,0.0,14254.42
EF5642,79.99,79.99,0.0,1007.87
EE7160,75.99,75.99,0.0,12310.38
EF5547,85.99,85.99,0.0,13620.82
EG7753,75.99,75.99,0.0,2188.51
EF5549,85.99,85.99,0.0,12227.78
EF5314,89.99,89.99,0.0,1619.82
EF4933,75.99,75.99,0.0,3282.77
EG9829,89.99,89.99,0.0,1943.78
EG7876,75.99,75.99,0.0,12857.51
EF4935,75.99,75.99,0.0,11489.69
EF4983,79.99,79.99,0.0,1871.77
EG9053,,,,
EF4374,119.99,119.99,0.0,20086.33
EH3522,79.99,79.99,0.0,6191.23
EG0576,79.99,79.99,0.0,9646.79
EF6507,79.99,79.99,0.0,431.95
EF5386,89.99,89.99,0.0,11824.69
CL7520,52.99,31.79,0.4,5207.2
EG0578,79.99,79.99,0.0,7631.05
